zip,geoid,state,res_ratio,tot_ratio
00501,35004,NY,0,1
01431,15764,MA,1,1
01432,15764,MA,1,1
01434,15764,MA,1,1
01450,15764,MA,1,1
01451,15764,MA,1,1
01460,15764,MA,1,1
01462,15764,MA,1,1
01463,15764,MA,1,1
01464,15764,MA,1,1
01469,15764,MA,1,1
01472,15764,MA,0,1
01474,15764,MA,1,1
01503,15764,MA,1,1
01504,14454,MA,1,1
01532,15764,MA,0,1
01701,15764,MA,1,1
01702,15764,MA,1,1
01703,15764,MA,1,1
01704,15764,MA,1,1
01718,15764,MA,1,1
01719,15764,MA,1,1
01720,15764,MA,1,1
01721,15764,MA,1,1
01730,15764,MA,1,1
01731,15764,MA,1,1
01741,15764,MA,1,1
01742,15764,MA,1,1
01746,14454,MA,0.000455,0.000398
01746,15764,MA,0.999545,0.999602
01748,15764,MA,1,1
01749,15764,MA,1,1
01752,15764,MA,1,1
01754,15764,MA,1,1
01756,14454,MA,1,1
01760,15764,MA,0.998683,0.998897
01760,14454,MA,0.001317,0.001103
01770,15764,MA,1,1
01773,15764,MA,1,1
01775,15764,MA,1,1
01776,15764,MA,1,1
01778,15764,MA,1,1
01784,15764,MA,0,1
01801,15764,MA,1,1
01803,15764,MA,1,1
01805,15764,MA,0,1
01810,15764,MA,1,1
01812,15764,MA,0,1
01821,15764,MA,1,1
01822,15764,MA,1,1
01824,15764,MA,1,1
01826,15764,MA,1,1
01827,15764,MA,1,1
01830,15764,MA,1,1
01831,15764,MA,1,1
01832,15764,MA,1,1
01833,15764,MA,1,1
01834,15764,MA,1,1
01835,15764,MA,1,1
01840,15764,MA,1,1
01841,15764,MA,1,1
01842,15764,MA,1,1
01843,15764,MA,1,1
01844,15764,MA,1,1
01845,15764,MA,1,1
01850,15764,MA,1,1
01851,15764,MA,1,1
01852,15764,MA,1,1
01853,15764,MA,1,1
01854,15764,MA,1,1
01860,15764,MA,1,1
01862,15764,MA,1,1
01863,15764,MA,1,1
01864,15764,MA,1,1
01865,15764,MA,1,1
01866,15764,MA,0,1
01867,15764,MA,1,1
01876,15764,MA,1,1
01879,15764,MA,1,1
01880,15764,MA,1,1
01885,15764,MA,0,1
01886,15764,MA,1,1
01887,15764,MA,1,1
01888,15764,MA,1,1
01889,15764,MA,0,1
01890,15764,MA,1,1
01899,15764,MA,0,1
01901,15764,MA,1,1
01902,15764,MA,1,1
01903,15764,MA,1,1
01904,15764,MA,1,1
01905,15764,MA,1,1
01906,14454,MA,0.00008,0.000568
01906,15764,MA,0.99992,0.999432
01907,15764,MA,1,1
01908,15764,MA,1,1
01910,15764,MA,0,1
