zip,geoid,state,res_ratio,tot_ratio
00501,35620,NY,0,1
00601,99999,PR,0.997452,0.997053
00601,29720,PR,0.002548,0.002947
00602,10380,PR,1,1
00603,10380,PR,1,1
00604,10380,PR,1,1
00605,10380,PR,1,1
00606,99999,PR,1,1
00610,10380,PR,1,1
00611,46580,PR,1,1
00612,41980,PR,0.002606,0.002295
00612,46580,PR,0.00021,0.000222
00612,11640,PR,0.997184,0.997483
00613,11640,PR,1,1
00614,11640,PR,1,1
00616,11640,PR,1,1
00617,41980,PR,1,1
00622,32420,PR,1,1
00623,32420,PR,1,1
00624,38660,PR,1,1
00627,11640,PR,1,1
00631,29720,PR,0,1
00637,32420,PR,1,1
00638,41980,PR,1,1
00641,46580,PR,0.99608,0.996381
00641,38660,PR,0.00392,0.003619
00646,41980,PR,1,1
00647,99999,PR,0.995995,0.996122
00647,32420,PR,0.004005,0.003878
00650,11640,PR,0.00108,0.001044
00650,41980,PR,0.99892,0.998956
00652,11640,PR,1,1
00653,38660,PR,0.003355,0.003161
00653,99999,PR,0.996645,0.996839
00656,38660,PR,1,1
00659,11640,PR,1,1
00660,32420,PR,1,1
00662,11640,PR,0.000858,0.000793
00662,10380,PR,0.999142,0.999207
00664,99999,PR,1,1
00667,32420,PR,1,1
00669,29720,PR,1,1
00670,99999,PR,1,1
00674,41980,PR,1,1
00676,10380,PR,1,1
00677,10380,PR,1,1
00678,11640,PR,1,1
00680,10380,PR,0.000047,0.00004
00680,32420,PR,0.999953,0.99996
00681,32420,PR,1,1
00682,32420,PR,1,1
00683,32420,PR,1,1
00685,10380,PR,1,1
00687,41980,PR,1,1
00688,11640,PR,1,1
00690,10380,PR,1,1
00692,41980,PR,1,1
00693,41980,PR,1,1
00694,41980,PR,1,1
00698,32420,PR,0.000181,0.000335
00698,38660,PR,0.999819,0.999665
00703,41980,PR,1,1
00704,17640,PR,1,1
00705,41980,PR,1,1
00707,41980,PR,1,1
00714,25020,PR,1,1
00715,38660,PR,1,1
00716,38660,PR,1,1
00717,38660,PR,1,1
00718,41980,PR,1,1
00719,41980,PR,1,1
00720,41980,PR,0.99705,0.997234
00720,38660,PR,0.00295,0.002766
00721,41980,PR,1,1
00723,25020,PR,1,1
00725,41980,PR,1,1
00726,41980,PR,1,1
00727,41980,PR,1,1
00728,38660,PR,1,1
00729,41980,PR,1,1
00730,38660,PR,1,1
00731,38660,PR,1,1
00732,38660,PR,1,1
00733,38660,PR,1,1
00735,41980,PR,1,1
00736,41980,PR,1,1
00737,41980,PR,1,1
00738,41980,PR,1,1
00739,41980,PR,1,1
00740,41980,PR,1,1
00741,41980,PR,1,1
00744,41980,PR,1,1
00745,41980,PR,1,1
00751,17640,PR,1,1
00754,41980,PR,1,1
00757,17620,PR,1,1
00765,99999,PR,1,1
00766,38660,PR,1,1
00767,41980,PR,1,1
00769,17620,PR,1,1
00771,41980,PR,1,1
00772,41980,PR,1,1
00773,41980,PR,1,1
00775,99999,PR,0,1
00777,41980,PR,1,1
00778,41980,PR,1,1
00780,38660,PR,1,1
00782,41980,PR,1,1
00783,41980,PR,1,1
00784,25020,PR,1,1
00785,25020,PR,1,1
00786,41980,PR,0,1
00791,41980,PR,1,1
00792,41980,PR,1,1
00794,41980,PR,1,1
00795,38660,PR,1,1
00801,99999,VI,1,1
00802,99999,VI,1,1
00803,99999,VI,1,1
00804,99999,VI,1,1
00820,99999,VI,1,1
00830,99999,VI,1,1
00831,99999,VI,1,1
00840,99999,VI,1,1
00850,99999,VI,1,1
00901,41980,PR,1,1
00902,41980,PR,1,1
00907,41980,PR,1,1
00908,41980,PR,1,1
00909,41980,PR,1,1
00910,41980,PR,1,1
00911,41980,PR,1,1
00912,41980,PR,1,1
00913,41980,PR,1,1
00914,41980,PR,1,1
00915,41980,PR,1,1
00916,41980,PR,1,1
00917,41980,PR,1,1
00918,41980,PR,1,1
00919,41980,PR,1,1
00920,41980,PR,1,1
00921,41980,PR,1,1
00922,41980,PR,1,1
00923,41980,PR,1,1
00924,41980,PR,1,1
00925,41980,PR,1,1
00926,41980,PR,1,1
00927,41980,PR,1,1
00928,41980,PR,1,1
00929,41980,PR,1,1
00931,41980,PR,1,1
00934,41980,PR,1,1
00935,41980,PR,0,1
00936,41980,PR,1,1
00937,41980,PR,1,1
00940,41980,PR,1,1
00949,41980,PR,1,1
00950,41980,PR,1,1
00951,41980,PR,1,1
00952,41980,PR,1,1
00953,41980,PR,1,1
00954,41980,PR,1,1
00956,41980,PR,1,1
00957,41980,PR,1,1
00958,41980,PR,1,1
00959,41980,PR,1,1
00960,41980,PR,1,1
00961,41980,PR,1,1
00962,41980,PR,1,1
00963,41980,PR,1,1
00965,41980,PR,1,1
00966,41980,PR,1,1
00968,41980,PR,1,1
00969,41980,PR,1,1
00970,41980,PR,1,1
00971,41980,PR,1,1
00975,41980,PR,0,1
00976,41980,PR,1,1
00977,41980,PR,1,1
00979,41980,PR,1,1
00981,41980,PR,1,1
00982,41980,PR,1,1
00983,41980,PR,1,1
00984,41980,PR,1,1
00985,41980,PR,1,1
00986,41980,PR,1,1
00987,41980,PR,1,1
00988,41980,PR,1,1
01001,44140,MA,1,1
01002,11200,MA,0.992628,0.993323
01002,24640,MA,0.007372,0.006677
01003,11200,MA,1,1
01004,11200,MA,1,1
01005,49340,MA,1,1
01007,11200,MA,1,1
01008,38340,MA,0.142615,0.136943
01008,44140,MA,0.857385,0.863057
01009,44140,MA,1,1
01010,44140,MA,0.972487,0.973196
01010,49340,MA,0.027513,0.026804
01011,44140,MA,0.890208,0.897119
01011,11200,MA,0.109792,0.102881
01012,11200,MA,1,1
01013,44140,MA,1,1
01014,44140,MA,1,1
