zip,geoid,state,res_ratio,tot_ratio
00501,3602,NY,0,1
00601,7200,PR,1,1
00602,7200,PR,1,1
00603,7200,PR,1,1
00604,7200,PR,1,1
00605,7200,PR,1,1
00606,7200,PR,1,1
00610,7200,PR,1,1
00611,7200,PR,1,1
00612,7200,PR,1,1
00613,7200,PR,1,1
00614,7200,PR,1,1
00616,7200,PR,1,1
00617,7200,PR,1,1
00622,7200,PR,1,1
00623,7200,PR,1,1
00624,7200,PR,1,1
00627,7200,PR,1,1
00631,7200,PR,0,1
00637,7200,PR,1,1
00638,7200,PR,1,1
00641,7200,PR,1,1
00646,7200,PR,1,1
00647,7200,PR,1,1
00650,7200,PR,1,1
00652,7200,PR,1,1
00653,7200,PR,1,1
00656,7200,PR,1,1
00659,7200,PR,1,1
00660,7200,PR,1,1
00662,7200,PR,1,1
00664,7200,PR,1,1
00667,7200,PR,1,1
00669,7200,PR,1,1
00670,7200,PR,1,1
00674,7200,PR,1,1
00676,7200,PR,1,1
00677,7200,PR,1,1
00678,7200,PR,1,1
00680,7200,PR,1,1
00681,7200,PR,1,1
00682,7200,PR,1,1
00683,7200,PR,1,1
00685,7200,PR,1,1
00687,7200,PR,1,1
00688,7200,PR,1,1
00690,7200,PR,1,1
00692,7200,PR,1,1
00693,7200,PR,1,1
00694,7200,PR,1,1
00698,7200,PR,1,1
00703,7200,PR,1,1
00704,7200,PR,1,1
00705,7200,PR,1,1
00707,7200,PR,1,1
00714,7200,PR,1,1
00715,7200,PR,1,1
00716,7200,PR,1,1
00717,7200,PR,1,1
00718,7200,PR,1,1
00719,7200,PR,1,1
00720,7200,PR,1,1
00721,7200,PR,1,1
00723,7200,PR,1,1
00725,7200,PR,1,1
00726,7200,PR,1,1
00727,7200,PR,1,1
00728,7200,PR,1,1
00729,7200,PR,1,1
00730,7200,PR,1,1
00731,7200,PR,1,1
00732,7200,PR,1,1
00733,7200,PR,1,1
00735,7200,PR,1,1
00736,7200,PR,1,1
00737,7200,PR,1,1
00738,7200,PR,1,1
00739,7200,PR,1,1
00740,7200,PR,1,1
00741,7200,PR,1,1
00744,7200,PR,1,1
00745,7200,PR,1,1
00751,7200,PR,1,1
00754,7200,PR,1,1
00757,7200,PR,1,1
00765,7200,PR,1,1
00766,7200,PR,1,1
00767,7200,PR,1,1
00769,7200,PR,1,1
00771,7200,PR,1,1
00772,7200,PR,1,1
00773,7200,PR,1,1
00775,7200,PR,0,1
00777,7200,PR,1,1
00778,7200,PR,1,1
00780,7200,PR,1,1
00782,7200,PR,1,1
00783,7200,PR,1,1
00784,7200,PR,1,1
00785,7200,PR,1,1
00786,7200,PR,0,1
00791,7200,PR,1,1
00792,7200,PR,1,1
00794,7200,PR,1,1
00795,7200,PR,1,1
00801,7800,VI,1,1
00802,7800,VI,1,1
00803,7800,VI,1,1
00804,7800,VI,1,1
00820,7800,VI,1,1
00830,7800,VI,1,1
00831,7800,VI,1,1
00840,7800,VI,1,1
00850,7800,VI,1,1
00901,7200,PR,1,1
00902,7200,PR,1,1
00907,7200,PR,1,1
00908,7200,PR,1,1
00909,7200,PR,1,1
00910,7200,PR,1,1
00911,7200,PR,1,1
00912,7200,PR,1,1
00913,7200,PR,1,1
00914,7200,PR,1,1
00915,7200,PR,1,1
00916,7200,PR,1,1
00917,7200,PR,1,1
00918,7200,PR,1,1
00919,7200,PR,1,1
00920,7200,PR,1,1
00921,7200,PR,1,1
00922,7200,PR,1,1
00923,7200,PR,1,1
00924,7200,PR,1,1
00925,7200,PR,1,1
00926,7200,PR,1,1
00927,7200,PR,1,1
00928,7200,PR,1,1
00929,7200,PR,1,1
00931,7200,PR,1,1
00934,7200,PR,1,1
00935,7200,PR,0,1
00936,7200,PR,1,1
00937,7200,PR,1,1
00940,7200,PR,1,1
00949,7200,PR,1,1
00950,7200,PR,1,1
00951,7200,PR,1,1
00952,7200,PR,1,1
00953,7200,PR,1,1
00954,7200,PR,1,1
00956,7200,PR,1,1
00957,7200,PR,1,1
00958,7200,PR,1,1
00959,7200,PR,1,1
00960,7200,PR,1,1
00961,7200,PR,1,1
00962,7200,PR,1,1
00963,7200,PR,1,1
00965,7200,PR,1,1
00966,7200,PR,1,1
00968,7200,PR,1,1
00969,7200,PR,1,1
00970,7200,PR,1,1
00971,7200,PR,1,1
00975,7200,PR,0,1
00976,7200,PR,1,1
00977,7200,PR,1,1
00979,7200,PR,1,1
00981,7200,PR,1,1
00982,7200,PR,1,1
00983,7200,PR,1,1
00984,7200,PR,1,1
00985,7200,PR,1,1
00986,7200,PR,1,1
00987,7200,PR,1,1
00988,7200,PR,1,1
01001,2501,MA,1,1
01002,2502,MA,1,1
01003,2502,MA,1,1
01004,2502,MA,1,1
01005,2502,MA,1,1
01007,2501,MA,0.998947,0.999005
01007,2502,MA,0.001053,0.000995
01008,2501,MA,1,1
01009,2501,MA,1,1
01010,2501,MA,1,1
01011,2501,MA,1,1
01012,2502,MA,1,1
01013,2501,MA,1,1
01014,2501,MA,1,1
01020,2501,MA,1,1
01021,2501,MA,1,1
01022,2501,MA,1,1
01026,2502,MA,0.005199,0.004808
01026,2501,MA,0.994801,0.995192
01027,2501,MA,0.923956,0.93382
01027,2502,MA,0.076044,0.06618
01028,2501,MA,1,1
01029,2501,MA,1,1
01030,2501,MA,1,1
01031,2502,MA,1,1
01032,2502,MA,1,1
01033,2501,MA,1,1
01034,2501,MA,1,1
01035,2502,MA,1,1
01036,2501,MA,1,1
01037,2502,MA,1,1
01038,2502,MA,1,1
01039,2502,MA,1,1
01040,2501,MA,1,1
01041,2501,MA,1,1
01050,2501,MA,1,1
01053,2502,MA,1,1
01054,2502,MA,1,1
01056,2501,MA,1,1
01057,2501,MA,1,1
01059,2502,MA,0,1
01060,2502,MA,1,1
01061,2502,MA,1,1
01062,2502,MA,1,1
01063,2502,MA,0,1
01066,2502,MA,1,1
01068,2502,MA,1,1
01069,2501,MA,1,1
01070,2501,MA,1,1
01071,2501,MA,1,1
01072,2502,MA,1,1
01073,2501,MA,1,1
01074,2502,MA,0,1
01075,2501,MA,1,1
01077,2501,MA,1,1
01079,2501,MA,0,1
01080,2501,MA,1,1
01081,2501,MA,1,1
01082,2502,MA,0.038964,0.035079
01082,2501,MA,0.961036,0.964921
01083,2501,MA,1,1
01084,2502,MA,1,1
01085,2501,MA,1,1
01086,2501,MA,1,1
01088,2502,MA,1,1
01089,2501,MA,1,1
01090,2501,MA,1,1
01092,2501,MA,0,1
01093,2502,MA,0,1
01094,2502,MA,0,1
01095,2501,MA,1,1
01096,2502,MA,1,1
01097,2501,MA,0,1
01098,2501,MA,0.996764,0.99689
01098,2502,MA,0.003236,0.00311
01101,2501,MA,1,1
01103,2501,MA,1,1
01104,2501,MA,1,1
01105,2501,MA,1,1
01106,2501,MA,1,1
01107,2501,MA,1,1
01108,2501,MA,1,1
01109,2501,MA,1,1
01111,2501,MA,0,1
01115,2501,MA,0,1
01116,2501,MA,1,1
01118,2501,MA,1,1
01119,2501,MA,1,1
01128,2501,MA,1,1
01129,2501,MA,1,1
01138,2501,MA,1,1
01139,2501,MA,1,1
01144,2501,MA,0,1
01151,2501,MA,1,1
01152,2501,MA,0,1
01199,2501,MA,0,1
01201,2501,MA,1,1
01202,2501,MA,1,1
01220,2501,MA,1,1
01222,2501,MA,1,1
01223,2501,MA,1,1
01224,2501,MA,1,1
01225,2501,MA,1,1
01226,2501,MA,1,1
01227,2501,MA,1,1
01229,2501,MA,0,1
01230,2501,MA,1,1
01235,2501,MA,1,1
01236,2501,MA,1,1
01237,2501,MA,1,1
01238,2501,MA,1,1
01240,2501,MA,1,1
01242,2501,MA,0,1
01243,2501,MA,0,1
01244,2501,MA,0,1
01245,2501,MA,1,1
01247,2501,MA,1,1
01253,2501,MA,1,1
01254,2501,MA,1,1
01255,2501,MA,1,1
01256,2501,MA,1,1
01257,2501,MA,1,1
01258,2501,MA,1,1
01259,2501,MA,1,1
01260,2501,MA,0,1
01262,2501,MA,0,1
01263,2501,MA,0,1
01264,2501,MA,0,1
01266,2501,MA,1,1
01267,2501,MA,1,1
01270,2501,MA,1,1
01301,2502,MA,1,1
01302,2502,MA,1,1
01330,2502,MA,0.998726,0.998825
01330,2501,MA,0.001274,0.001175
01331,2502,MA,1,1
01337,2502,MA,1,1
01338,2502,MA,1,1
01339,2502,MA,0.125721,0.122924
01339,2501,MA,0.874279,0.877076
01340,2502,MA,1,1
