zip,geoid,state,res_ratio,tot_ratio
00501,3610310000,NY,0,1
00601,7200185584,PR,0.008155,0.0076
00601,7208106378,PR,0.002548,0.002947
00601,7200174963,PR,0.009174,0.008376
00601,7200100401,PR,0.965172,0.967427
00601,7200130458,PR,0.014951,0.01365
00602,7200327233,PR,0.003081,0.00287
00602,7200314591,PR,0.072023,0.068429
00602,7200331318,PR,0.057202,0.054607
00602,7200331963,PR,0.022231,0.024094
00602,7200356215,PR,0.004746,0.019184
00602,7200361719,PR,0.236636,0.23935
00602,7200549335,PR,0,0.000076
00602,7200304185,PR,0.540466,0.513142
00602,7200330931,PR,0.000416,0.000378
00602,7200300659,PR,0.049292,0.065106
00602,7200317085,PR,0.013322,0.012236
00602,7211766449,PR,0.000583,0.000529
00603,7200585842,PR,0.022959,0.025033
00603,7200520955,PR,0.129022,0.124772
00603,7200554108,PR,0,0.000148
00603,7200532694,PR,0.001078,0.000986
00603,7200508313,PR,0.14228,0.150052
00603,7200510635,PR,0.043492,0.044005
00603,7200510592,PR,0.000916,0.000838
00603,7200500530,PR,0.000377,0.000641
00603,7200500788,PR,0.107895,0.126152
00603,7200549292,PR,0.011425,0.010447
00603,7200503626,PR,0.000916,0.000838
00603,7200549335,PR,0.045756,0.045976
00603,7200511237,PR,0.493236,0.469472
00603,7209900229,PR,0.000647,0.000641
00604,7200549335,PR,1,1
00605,7200520955,PR,1,1
00606,7209351313,PR,0.967528,0.965791
00606,7209351399,PR,0.032472,0.034209
00610,7201102766,PR,0.286675,0.285329
00610,7201151141,PR,0.134633,0.132757
00610,7201123148,PR,0.009694,0.010792
00610,7201113989,PR,0.057869,0.056842
00610,7201162665,PR,0.051736,0.053028
00610,7201161934,PR,0.108023,0.102986
00610,7201114462,PR,0.084578,0.085124
00610,7201102637,PR,0.266792,0.273142
00611,7214102981,PR,1,1
00612,7201729039,PR,0.001051,0.000925
00612,7201323750,PR,0.000798,0.00074
00612,7201327835,PR,0.065938,0.06023
00612,7201323836,PR,0.027695,0.025025
00612,7205428996,PR,0.001555,0.00137
00612,7201333511,PR,0.334272,0.316884
00612,7201330329,PR,0.000252,0.000222
00612,7201311323,PR,0.00021,0.00037
00612,7201381757,PR,0.007985,0.007108
00612,7201336865,PR,0.026476,0.023951
00612,7201373759,PR,0.00332,0.002962
00612,7214102981,PR,0.00021,0.000222
00612,7201303411,PR,0.337634,0.378151
00612,7201327061,PR,0.003152,0.002813
00612,7201353549,PR,0.005001,0.004664
00612,7206520525,PR,0.001891,0.001666
00612,7201378704,PR,0.079555,0.079184
00612,7201333554,PR,0.090145,0.081442
00612,7206511624,PR,0.004833,0.004257
00612,7201303540,PR,0.008027,0.007811
00613,7201303411,PR,0.698626,0.701556
00613,7201333511,PR,0.301374,0.298444
00614,7201333511,PR,1,1
00616,7201327835,PR,0.734737,0.73411
00616,7201323750,PR,0.265263,0.26589
00617,7201758580,PR,0.077287,0.074159
00617,7205428996,PR,0.000273,0.000255
00617,7201730415,PR,0.103869,0.103891
00617,7201705389,PR,0.042786,0.043323
00617,7201729039,PR,0.775057,0.777693
00617,7209182230,PR,0.000091,0.000085
00617,7209104873,PR,0.000637,0.000595
00622,7202346153,PR,0.004467,0.005814
00622,7202360601,PR,0.435739,0.434337
00622,7202308012,PR,0.559794,0.55985
00623,7202346153,PR,0.057473,0.055401
00623,7202353377,PR,0.298148,0.287541
00623,7202360601,PR,0.127696,0.120805
00623,7202308012,PR,0.06185,0.059959
00623,7202346067,PR,0.01034,0.009707
00623,7202309818,PR,0.125222,0.140456
00623,7202331017,PR,0.119513,0.116898
00623,7202354409,PR,0.125032,0.133945
00623,7209731103,PR,0.001332,0.001302
00623,7202304787,PR,0.073395,0.073986
00624,7211126631,PR,0.282882,0.275819
00624,7211137510,PR,0.082485,0.07802
00624,7211121127,PR,0.098083,0.093648
00624,7211179607,PR,0.069795,0.069017
00624,7211167137,PR,0.089623,0.084896
00624,7211348389,PR,0.001058,0.001
00624,7211161117,PR,0.376074,0.396599
00624,7205932350,PR,0,0.001
00627,7202752990,PR,0.070933,0.066839
00627,7202711968,PR,0.265972,0.296067
00627,7202717859,PR,0.00248,0.002308
00627,7202718375,PR,0.094048,0.088534
00627,7202788336,PR,0.001687,0.001569
00627,7202765116,PR,0.564881,0.544682
00631,7208106378,PR,0,1
00637,7212168857,PR,0.030233,0.031782
00637,7212181026,PR,0.153676,0.145275
00637,7212169674,PR,0.092808,0.091866
00637,7212183004,PR,0.024407,0.022849
00637,7212173587,PR,0.259241,0.284344
00637,7212148346,PR,0.253917,0.24504
00637,7212178747,PR,0.185717,0.178843
00638,7210757376,PR,0.000614,0.001018
00638,7203920568,PR,0.055266,0.053512
00638,7210701433,PR,0.317777,0.309146
00638,7203917730,PR,0.06985,0.096554
00638,7203937338,PR,0.194811,0.191363
00638,7203934285,PR,0.00261,0.002763
00638,7203961375,PR,0.359073,0.345645
00641,7214184552,PR,0.769045,0.781572
00641,7211364041,PR,0.003015,0.002784
00641,7214103884,PR,0.020302,0.020785
00641,7214175092,PR,0.081407,0.076923
00641,7214175135,PR,0.011759,0.010856
00641,7211364299,PR,0.000905,0.000835
00641,7214187562,PR,0.112663,0.104853
00641,7214102981,PR,0.000905,0.001392
00646,7205124051,PR,0.037184,0.043032
00646,7205171480,PR,0.007852,0.007424
00646,7205148819,PR,0.052498,0.04949
