zip,geoid,state,res_ratio,tot_ratio
00501,36103,NY,0,1
00601,72001,PR,0.997452,0.997053
00601,72081,PR,0.002548,0.002947
00602,72117,PR,0.000583,0.000529
00602,72005,PR,0,0.000076
00602,72003,PR,0.999417,0.999396
00603,72005,PR,0.999353,0.999359
00603,72099,PR,0.000647,0.000641
00604,72005,PR,1,1
00605,72005,PR,1,1
00606,72093,PR,1,1
00610,72011,PR,1,1
00611,72141,PR,1,1
00612,72013,PR,0.99046,0.99156
00612,72141,PR,0.00021,0.000222
00612,72054,PR,0.001555,0.00137
00612,72065,PR,0.006724,0.005923
00612,72017,PR,0.001051,0.000925
00613,72013,PR,1,1
00614,72013,PR,1,1
00616,72013,PR,1,1
00617,72017,PR,0.998999,0.999066
00617,72091,PR,0.000728,0.00068
00617,72054,PR,0.000273,0.000255
00622,72023,PR,1,1
00623,72097,PR,0.001332,0.001302
00623,72023,PR,0.998668,0.998698
00624,72113,PR,0.001058,0.001
00624,72059,PR,0,0.001
00624,72111,PR,0.998942,0.997999
00627,72027,PR,1,1
00631,72081,PR,0,1
00637,72121,PR,1,1
00638,72107,PR,0.318391,0.310164
00638,72039,PR,0.681609,0.689836
00641,72113,PR,0.00392,0.003619
00641,72141,PR,0.99608,0.996381
00646,72051,PR,0.995328,0.995111
00646,72137,PR,0.000909,0.001147
00646,72135,PR,0.000844,0.000845
00646,72143,PR,0.00292,0.002897
00647,72055,PR,0.995995,0.996122
00647,72121,PR,0.004005,0.003878
00650,72054,PR,0.99892,0.998956
00650,72013,PR,0.00108,0.001044
00652,72013,PR,1,1
00653,72055,PR,0.996645,0.996839
00653,72153,PR,0.003355,0.003161
00656,72059,PR,1,1
00659,72013,PR,0.012219,0.011464
00659,72065,PR,0.987781,0.988536
00660,72067,PR,0.999443,0.999475
00660,72097,PR,0.000557,0.000525
00662,72071,PR,0.988993,0.98937
00662,72115,PR,0.000858,0.000793
00662,72099,PR,0.008937,0.008532
00662,72005,PR,0.001212,0.001305
00664,72073,PR,1,1
00667,72121,PR,0.001002,0.001055
00667,72079,PR,0.998998,0.998945
00669,72081,PR,1,1
00670,72083,PR,1,1
00674,72145,PR,0.014532,0.015696
00674,72017,PR,0.000632,0.000564
00674,72091,PR,0.973521,0.973379
00674,72101,PR,0.011315,0.010361
00676,72131,PR,0.001132,0.001071
00676,72099,PR,0.998868,0.998929
00677,72117,PR,1,1
00678,72115,PR,1,1
00680,72011,PR,0.000047,0.00004
00680,72067,PR,0.001599,0.001556
00680,72097,PR,0.998353,0.998364
00680,72023,PR,0,0.00004
00681,72097,PR,1,1
00682,72097,PR,1,1
00683,72097,PR,0.000157,0.000144
00683,72023,PR,0.000785,0.000792
00683,72067,PR,0.008089,0.007487
00683,72121,PR,0.00589,0.005688
00683,72125,PR,0.985078,0.985889
00685,72131,PR,1,1
00687,72047,PR,0.000203,0.000193
00687,72145,PR,0.001014,0.000966
00687,72101,PR,0.998783,0.99884
00688,72013,PR,1,1
00690,72005,PR,1,1
00692,72051,PR,0.000327,0.000303
00692,72101,PR,0.001309,0.001212
00692,72145,PR,0.006546,0.006062
00692,72143,PR,0.991817,0.992423
00693,72091,PR,0.002561,0.002365
00693,72143,PR,0.001178,0.001088
00693,72145,PR,0.996261,0.996548
00694,72145,PR,1,1
00698,72153,PR,0.999819,0.99961
