geoid,candidate,phase,positive_cents,net_cents,count
10100,C00369033,between_primary_runoff,50000,50000,1.00
10100,C00919084,between_primary_runoff,8171,8171,0.82
10100,C00919084,post_runoff,18191,18191,1.82
10100,C00919084,pre_primary,20427,20427,0.82
10140,C00919084,between_primary_runoff,7159,7159,3.18
10140,C00919084,post_runoff,1588,1588,0.79
10180,C00369033,between_primary_runoff,569584,569584,7.98
10180,C00369033,pre_primary,370000,370000,8.00
10180,C00901918,between_primary_runoff,795356,795356,47.32
10180,C00901918,post_runoff,346345,346345,34.10
10180,C00901918,pre_primary,2173914,2173914,79.40
10180,C00919084,between_primary_runoff,1723442,1723442,139.97
10180,C00919084,post_runoff,537798,537798,106.56
10180,C00919084,pre_primary,1032498,1032498,98.74
10220,C00919084,post_runoff,24991,24991,1.00
10300,C00919084,between_primary_runoff,83,83,0.01
10300,C00919084,post_runoff,52209,52209,4.01
10300,C00919084,pre_primary,5,5,0.00
10420,C00369033,pre_primary,33835,33835,0.67
10420,C00901918,between_primary_runoff,22000,22000,3.00
10420,C00901918,post_runoff,7500,7500,1.00
10420,C00919084,between_primary_runoff,624807,624807,29.23
10420,C00919084,post_runoff,278539,278539,11.25
10420,C00919084,pre_primary,354878,354878,26.43
10460,C00901918,post_runoff,2500,2500,1.00
10460,C00919084,between_primary_runoff,30500,30500,10.00
10460,C00919084,post_runoff,143000,143000,16.00
10460,C00919084,pre_primary,70000,70000,3.00
10480,C00919084,pre_primary,50000,50000,1.00
10500,C00369033,between_primary_runoff,273,273,0.79
10500,C00369033,pre_primary,581,581,0.01
10500,C00901918,pre_primary,30000,30000,1.00
10500,C00919084,between_primary_runoff,1385,1385,0.03
10500,C00919084,post_runoff,100000,100000,1.00
10500,C00919084,pre_primary,25000,25000,1.00
10540,C00919084,between_primary_runoff,70257,70257,14.20
10540,C00919084,post_runoff,91772,91772,12.95
10540,C00919084,pre_primary,68248,68248,10.83
10580,C00369033,pre_primary,40000,40000,1.00
10580,C00901918,between_primary_runoff,60000,60000,3.00
10580,C00901918,post_runoff,52051,52051,1.00
10580,C00919084,between_primary_runoff,870617,870617,85.06
10580,C00919084,post_runoff,1010455,1010455,74.00
10580,C00919084,pre_primary,588100,588100,45.00
10700,C00901918,between_primary_runoff,500000,350000,1.00
10700,C00919084,between_primary_runoff,10687,10687,1.80
10700,C00919084,post_runoff,37403,37403,2.77
10740,C00369033,between_primary_runoff,1923,1923,4.00
10740,C00369033,pre_primary,900,900,1.00
10740,C00901918,between_primary_runoff,13467,13467,2.95
10740,C00901918,post_runoff,2500,2500,1.00
10740,C00919084,between_primary_runoff,2920087,2920087,204.09
10740,C00919084,post_runoff,1686254,1686254,162.48
10740,C00919084,pre_primary,2718161,2718161,140.81
10760,C00919084,between_primary_runoff,835,835,1.67
10760,C00919084,post_runoff,6363,6363,1.67
10760,C00919084,pre_primary,50000,50000,1.00
10780,C00901918,post_runoff,10000,10000,1.00
10820,C00919084,between_primary_runoff,11965,11965,2.99
10820,C00919084,post_runoff,9971,9971,1.00
10860,C00369033,between_primary_runoff,25000,25000,1.00
10860,C00369033,pre_primary,255,255,0.00
10860,C00901918,between_primary_runoff,120842,120842,3.00
10860,C00901918,post_runoff,19,19,0.00
10860,C00919084,between_primary_runoff,61331,61331,7.60
10860,C00919084,post_runoff,54938,54938,7.98
10860,C00919084,pre_primary,7557,7557,0.76
10900,C00369033,between_primary_runoff,74402,24402,1.98
10900,C00369033,pre_primary,129282,129282,2.98
10900,C00901918,between_primary_runoff,75790,75790,31.03
10900,C00901918,post_runoff,23231,23231,13.02
10900,C00901918,pre_primary,84008,84008,27.93
10900,C00919084,between_primary_runoff,368307,368307,44.74
10900,C00919084,post_runoff,255583,255583,23.70
10900,C00919084,pre_primary,437184,437184,45.96
10940,C00919084,between_primary_runoff,23682,23682,3.00
10940,C00919084,pre_primary,96628,96628,7.99
10980,C00919084,post_runoff,4170,4170,0.21
10980,C00919084,pre_primary,10426,10426,0.21
11020,C00901918,between_primary_runoff,255200,255200,10.38
11020,C00901918,pre_primary,162401,162401,5.66
11020,C00919084,pre_primary,5303,5303,1.77
11060,C00901918,pre_primary,26025,26025,1.00
11100,C00369033,between_primary_runoff,774988,774988,12.00
11100,C00369033,pre_primary,1119941,1119941,19.00
11100,C00901918,between_primary_runoff,483030,483030,27.00
11100,C00901918,post_runoff,445398,445398,22.00
11100,C00901918,pre_primary,3449674,3449674,45.00
11100,C00919084,between_primary_runoff,2664116,2664116,344.94
11100,C00919084,post_runoff,2360612,2360612,235.60
11100,C00919084,pre_primary,2917356,2917356,300.64
11140,C00369033,between_primary_runoff,21,21,0.21
11140,C00919084,between_primary_runoff,10955,10955,1.00
11140,C00919084,post_runoff,9327,9327,1.00
11180,C00369033,pre_primary,50000,50000,1.00
11180,C00919084,between_primary_runoff,55000,55000,4.00
11180,C00919084,post_runoff,150000,150000,5.00
11180,C00919084,pre_primary,65000,65000,4.00
11200,C00919084,between_primary_runoff,788022,788022,31.00
11200,C00919084,post_runoff,1629860,1629860,40.50
11200,C00919084,pre_primary,480393,480393,18.77
11260,C00901918,between_primary_runoff,76117,76117,11.00
11260,C00901918,pre_primary,59345,59345,4.00
11260,C00919084,between_primary_runoff,659600,659600,45.00
11260,C00919084,post_runoff,1360896,1360896,42.00
11260,C00919084,pre_primary,643100,643100,44.00
11360,C00369033,between_primary_runoff,9184,9184,0.18
11360,C00901918,between_primary_runoff,573,573,0.02
11360,C00919084,between_primary_runoff,16285,16285,3.29
11360,C00919084,post_runoff,21533,21533,2.28
11360,C00919084,pre_primary,7180,7180,1.69
11380,C00369033,between_primary_runoff,100000,100000,3.00
11380,C00919084,between_primary_runoff,40000,40000,5.00
11380,C00919084,post_runoff,15000,15000,2.00
11380,C00919084,pre_primary,10000,10000,1.00
11420,C00901918,post_runoff,8635,8635,0.83
11420,C00901918,pre_primary,60677,60677,1.83
11420,C00919084,between_primary_runoff,4772,4772,5.57
11420,C00919084,post_runoff,2466,2466,3.18
11460,C00901918,pre_primary,10000,10000,1.00
