geoid,candidate,phase,positive_cents,net_cents,count
0101,C00369033,between_primary_runoff,2500,2500,1.00
0101,C00369033,pre_primary,35000,35000,14.00
0101,C00901918,between_primary_runoff,14000,14000,1.51
0101,C00919084,between_primary_runoff,282101,282101,41.94
0101,C00919084,post_runoff,219776,219776,30.55
0101,C00919084,pre_primary,413501,413501,41.56
0102,C00901918,between_primary_runoff,65410,65410,5.44
0102,C00901918,post_runoff,88483,88483,1.68
0102,C00919084,between_primary_runoff,188516,188516,17.12
0102,C00919084,post_runoff,130098,130098,22.42
0102,C00919084,pre_primary,117629,117629,9.35
0103,C00901918,between_primary_runoff,81920,81920,11.00
0103,C00901918,post_runoff,39304,39304,5.32
0103,C00901918,pre_primary,60000,60000,4.00
0103,C00919084,between_primary_runoff,20417,20417,6.49
0103,C00919084,post_runoff,44025,44025,5.61
0103,C00919084,pre_primary,74712,74712,1.99
0104,C00369033,pre_primary,29296,29296,38.00
0104,C00901918,between_primary_runoff,520000,370000,4.00
0104,C00901918,pre_primary,5000,5000,1.00
0104,C00919084,between_primary_runoff,89061,89061,12.32
0104,C00919084,post_runoff,133423,133423,12.11
0104,C00919084,pre_primary,177388,177388,7.00
0105,C00901918,between_primary_runoff,25000,25000,4.00
0105,C00901918,post_runoff,5000,5000,1.00
0105,C00901918,pre_primary,50410,50410,9.00
0105,C00919084,between_primary_runoff,472065,472065,50.00
0105,C00919084,post_runoff,449212,449212,32.00
0105,C00919084,pre_primary,357800,357800,23.00
0106,C00369033,between_primary_runoff,134647,134647,3.33
0106,C00369033,pre_primary,84221,84221,1.69
0106,C00901918,between_primary_runoff,170371,170371,1.37
0106,C00901918,post_runoff,52458,52458,2.59
0106,C00901918,pre_primary,23833,23833,0.96
0106,C00919084,between_primary_runoff,196497,196497,29.61
0106,C00919084,post_runoff,182689,182689,19.62
0106,C00919084,pre_primary,788387,788387,34.00
0107,C00369033,between_primary_runoff,40353,40353,0.67
0107,C00369033,pre_primary,15779,15779,0.31
0107,C00901918,between_primary_runoff,143087,143087,2.68
0107,C00901918,post_runoff,5870,5870,1.41
0107,C00901918,pre_primary,26167,26167,1.04
0107,C00919084,between_primary_runoff,145320,145320,23.52
0107,C00919084,post_runoff,305062,305062,21.69
0107,C00919084,pre_primary,353811,353811,16.10
0200,C00901918,between_primary_runoff,102617,102617,14.00
0200,C00901918,post_runoff,5500,5500,1.00
0200,C00901918,pre_primary,163447,163447,5.00
0200,C00919084,between_primary_runoff,1247600,1247600,122.00
0200,C00919084,post_runoff,1690896,1690896,89.00
0200,C00919084,pre_primary,1471100,1471100,135.00
0401,C00369033,between_primary_runoff,20029,20029,2.01
0401,C00369033,pre_primary,156779,156779,3.58
0401,C00901918,between_primary_runoff,460240,460240,16.56
0401,C00901918,post_runoff,114151,114151,10.06
0401,C00901918,pre_primary,1187976,1187976,6.52
0401,C00919084,between_primary_runoff,2045528,2045528,123.22
0401,C00919084,post_runoff,2616255,2616255,116.26
0401,C00919084,pre_primary,2180300,2180300,85.88
0402,C00369033,between_primary_runoff,52752,52752,2.01
0402,C00369033,pre_primary,19252,19252,8.01
0402,C00901918,between_primary_runoff,98265,98265,20.06
0402,C00901918,post_runoff,30282,30282,11.06
0402,C00901918,pre_primary,36550,36550,11.00
0402,C00919084,between_primary_runoff,515013,515013,84.51
0402,C00919084,post_runoff,314829,314829,56.71
0402,C00919084,pre_primary,904385,904385,86.80
0403,C00369033,pre_primary,52128,52128,1.59
0403,C00901918,between_primary_runoff,25458,25458,2.23
0403,C00901918,post_runoff,8342,8342,1.95
0403,C00901918,pre_primary,18135,18135,0.32
0403,C00919084,between_primary_runoff,298531,298531,39.28
0403,C00919084,post_runoff,166338,166338,21.93
0403,C00919084,pre_primary,168096,168096,18.13
0404,C00369033,between_primary_runoff,24152,24152,9.99
0404,C00369033,pre_primary,123377,123377,44.83
0404,C00901918,between_primary_runoff,245791,245791,8.78
0404,C00901918,post_runoff,50302,50302,1.13
0404,C00901918,pre_primary,1610365,1610365,6.68
0404,C00919084,between_primary_runoff,365428,365428,34.79
0404,C00919084,post_runoff,550038,550038,42.26
0404,C00919084,pre_primary,351817,351817,17.62
0405,C00369033,between_primary_runoff,49748,49748,0.99
0405,C00369033,pre_primary,99748,99748,1.99
0405,C00901918,between_primary_runoff,67205,67205,5.80
0405,C00901918,post_runoff,9403,9403,2.87
0405,C00901918,pre_primary,25000,25000,1.00
0405,C00919084,between_primary_runoff,427556,427556,63.01
0405,C00919084,post_runoff,332326,332326,39.18
0405,C00919084,pre_primary,564621,564621,49.14
0406,C00369033,between_primary_runoff,36415,36415,0.73
0406,C00369033,pre_primary,86415,86415,1.73
0406,C00901918,between_primary_runoff,112750,112750,20.00
0406,C00901918,post_runoff,40554,40554,7.00
0406,C00901918,pre_primary,716739,716739,7.52
0406,C00919084,between_primary_runoff,1364726,1364726,189.69
0406,C00919084,post_runoff,1212678,1212678,133.81
0406,C00919084,pre_primary,850386,850386,99.80
0407,C00369033,between_primary_runoff,13585,13585,0.27
0407,C00369033,pre_primary,54477,54477,1.09
0407,C00901918,between_primary_runoff,8943,8943,0.93
0407,C00901918,post_runoff,6140,6140,1.65
0407,C00901918,pre_primary,54036,54036,1.48
0407,C00919084,between_primary_runoff,328101,328101,53.70
0407,C00919084,post_runoff,355004,355004,40.28
0407,C00919084,pre_primary,282486,282486,35.48
0408,C00369033,between_primary_runoff,50000,50000,1.00
0408,C00369033,pre_primary,75000,75000,2.00
0408,C00901918,between_primary_runoff,37064,37064,4.04
0408,C00901918,post_runoff,3313,3313,0.34
0408,C00901918,pre_primary,344627,344627,3.48
0408,C00919084,between_primary_runoff,394570,394570,69.32
0408,C00919084,post_runoff,209046,209046,47.15
0408,C00919084,pre_primary,459017,459017,41.06
0409,C00369033,between_primary_runoff,50000,50000,1.00
0409,C00369033,pre_primary,108990,108990,2.18
0409,C00901918,between_primary_runoff,164412,164412,21.60
0409,C00901918,post_runoff,49084,49084,25.94
0409,C00901918,pre_primary,62500,62500,4.00
0409,C00919084,between_primary_runoff,162860,162860,23.48
0409,C00919084,post_runoff,206463,206463,23.42
0409,C00919084,pre_primary,360141,360141,34.09
0501,C00901918,between_primary_runoff,84819,84819,8.00
0501,C00901918,pre_primary,31230,31230,3.00
0501,C00919084,between_primary_runoff,51856,51856,15.12
0501,C00919084,post_runoff,87596,87596,17.11
0501,C00919084,pre_primary,54518,54518,11.00
0502,C00369033,between_primary_runoff,60000,60000,2.00
0502,C00369033,pre_primary,1618204,1618204,5.00
0502,C00901918,between_primary_runoff,11105,11105,1.39
0502,C00901918,post_runoff,1051110,1051110,3.39
0502,C00919084,between_primary_runoff,1106493,1106493,123.96
0502,C00919084,post_runoff,493026,493026,67.67
0502,C00919084,pre_primary,644930,644930,60.39
0503,C00369033,pre_primary,825000,825000,5.00
0503,C00901918,between_primary_runoff,121528,121528,4.84
0503,C00901918,post_runoff,47875,47875,5.38
0503,C00901918,pre_primary,15615,15615,2.00
0503,C00919084,between_primary_runoff,1048100,1048100,109.00
0503,C00919084,post_runoff,1213634,1213634,53.00
0503,C00919084,pre_primary,799000,799000,76.00
0504,C00369033,pre_primary,50000,50000,1.00
0504,C00901918,between_primary_runoff,40713,40713,2.77
0504,C00901918,post_runoff,21261,21261,2.23
0504,C00919084,between_primary_runoff,225586,225586,38.92
0504,C00919084,post_runoff,187205,187205,23.22
0504,C00919084,pre_primary,208552,208552,26.61
0601,C00369033,between_primary_runoff,50000,50000,1.00
0601,C00369033,pre_primary,15770,15770,3.00
0601,C00901918,between_primary_runoff,38128,38128,5.00
0601,C00901918,post_runoff,8808,8808,2.00
0601,C00901918,pre_primary,365000,365000,3.00
0601,C00919084,between_primary_runoff,789463,789463,71.77
0601,C00919084,post_runoff,755627,755627,48.89
0601,C00919084,pre_primary,286589,286589,40.89
0602,C00369033,pre_primary,1150000,1150000,4.00
0602,C00901918,between_primary_runoff,124451,124451,16.00
0602,C00901918,post_runoff,43933,43933,5.00
0602,C00901918,pre_primary,161524,161524,18.00
0602,C00919084,between_primary_runoff,10789684,10789684,388.12
0602,C00919084,post_runoff,3757501,3757501,292.32
0602,C00919084,pre_primary,6364340,6364340,227.05
0603,C00369033,between_primary_runoff,50000,50000,1.00
0603,C00369033,pre_primary,75689,75689,15.00
0603,C00901918,between_primary_runoff,100435,100435,5.00
0603,C00901918,post_runoff,10000,10000,1.00
0603,C00901918,pre_primary,5056,5056,1.00
0603,C00919084,between_primary_runoff,1306278,1306278,96.41
0603,C00919084,post_runoff,1256418,1256418,86.53
0603,C00919084,pre_primary,756342,756342,58.04
0604,C00369033,pre_primary,49966,49966,1.00
0604,C00901918,between_primary_runoff,59481,59481,14.19
0604,C00901918,post_runoff,92145,92145,18.00
0604,C00901918,pre_primary,15,15,0.00
0604,C00919084,between_primary_runoff,2616377,2616377,255.77
0604,C00919084,post_runoff,2161808,2161808,171.39
0604,C00919084,pre_primary,1665276,1665276,130.82
0605,C00369033,between_primary_runoff,48292,48292,6.36
0605,C00369033,pre_primary,123555,123555,14.24
0605,C00901918,between_primary_runoff,62622,62622,8.15
0605,C00901918,post_runoff,8342,8342,2.15
0605,C00901918,pre_primary,26570,26570,2.15
0605,C00919084,between_primary_runoff,491526,491526,60.79
0605,C00919084,post_runoff,929020,929020,54.89
0605,C00919084,pre_primary,527101,527101,32.31
