geoid,candidate,phase,positive_cents,net_cents,count
01001,C00919084,between_primary_runoff,2194,2194,0.33
01003,C00369033,between_primary_runoff,2500,2500,1.00
01003,C00369033,pre_primary,35000,35000,14.00
01003,C00901918,between_primary_runoff,10000,10000,1.00
01003,C00919084,between_primary_runoff,217000,217000,36.00
01003,C00919084,post_runoff,196000,196000,25.00
01003,C00919084,pre_primary,329601,329601,38.00
01005,C00919084,between_primary_runoff,944,944,0.38
01005,C00919084,post_runoff,4908,4908,1.13
01009,C00919084,between_primary_runoff,69,69,0.03
01009,C00919084,post_runoff,825,825,0.06
01011,C00919084,between_primary_runoff,1557,1557,0.62
01011,C00919084,post_runoff,8094,8094,1.87
01011,C00919084,pre_primary,1179,1179,0.05
01015,C00901918,pre_primary,50000,50000,3.00
01015,C00919084,between_primary_runoff,4986,4986,1.99
01015,C00919084,post_runoff,10303,10303,2.35
01017,C00901918,between_primary_runoff,34276,34276,4.00
01017,C00901918,post_runoff,2000,2000,1.00
01017,C00901918,pre_primary,10000,10000,1.00
01019,C00919084,post_runoff,2453,2453,0.42
01021,C00919084,between_primary_runoff,17806,17806,2.67
01027,C00901918,between_primary_runoff,34407,34407,4.49
01027,C00901918,post_runoff,11000,11000,2.00
01029,C00919084,between_primary_runoff,14,14,0.01
01029,C00919084,post_runoff,358,358,0.06
01033,C00901918,between_primary_runoff,20000,20000,3.00
01033,C00901918,pre_primary,5000,5000,1.00
01033,C00919084,between_primary_runoff,25000,25000,1.00
01033,C00919084,post_runoff,2468,2468,0.02
01033,C00919084,pre_primary,60000,60000,2.00
01037,C00919084,between_primary_runoff,114,114,0.23
01037,C00919084,post_runoff,870,870,0.23
01043,C00919084,between_primary_runoff,3,3,0.00
01043,C00919084,post_runoff,31,31,0.00
01043,C00919084,pre_primary,50000,50000,1.00
01047,C00919084,post_runoff,5876,5876,1.96
01049,C00919084,between_primary_runoff,1741,1741,0.17
01049,C00919084,post_runoff,1741,1741,0.17
01051,C00919084,between_primary_runoff,51,51,0.10
01051,C00919084,post_runoff,391,391,0.10
01051,C00919084,pre_primary,5000,5000,2.00
01055,C00901918,between_primary_runoff,8644,8644,2.00
01055,C00901918,post_runoff,9644,9644,2.00
01055,C00919084,post_runoff,1013,1013,0.17
01057,C00919084,pre_primary,47984,47984,0.97
01059,C00919084,between_primary_runoff,10903,10903,2.62
01059,C00919084,post_runoff,1286,1286,0.03
01059,C00919084,pre_primary,15265,15265,2.62
01067,C00919084,between_primary_runoff,20000,20000,1.00
01067,C00919084,pre_primary,50000,50000,1.00
01071,C00919084,between_primary_runoff,40000,40000,1.00
01071,C00919084,pre_primary,150000,150000,1.00
01073,C00369033,between_primary_runoff,174816,174816,3.99
01073,C00369033,pre_primary,100000,100000,2.00
01073,C00901918,between_primary_runoff,302600,302600,2.00
01073,C00901918,post_runoff,57961,57961,3.99
01073,C00901918,pre_primary,38769,38769,1.55
01073,C00919084,between_primary_runoff,276164,276164,36.89
01073,C00919084,post_runoff,336856,336856,31.55
01073,C00919084,pre_primary,766556,766556,35.59
01075,C00369033,pre_primary,29,29,0.04
01075,C00919084,pre_primary,729,729,0.01
01077,C00919084,post_runoff,15000,15000,3.00
01079,C00919084,post_runoff,97532,97532,0.98
01081,C00919084,between_primary_runoff,15174,15174,2.94
01081,C00919084,post_runoff,24473,24473,0.98
01083,C00919084,between_primary_runoff,32380,32380,2.51
01083,C00919084,post_runoff,56317,56317,3.28
01083,C00919084,pre_primary,52468,52468,2.49
01087,C00919084,between_primary_runoff,325,325,0.06
01087,C00919084,post_runoff,525,525,0.02
01089,C00901918,between_primary_runoff,25000,25000,4.00
01089,C00901918,post_runoff,5000,5000,1.00
01089,C00901918,pre_primary,50410,50410,9.00
01089,C00919084,between_primary_runoff,399685,399685,46.49
01089,C00919084,post_runoff,294288,294288,27.72
01089,C00919084,pre_primary,155332,155332,19.51
01091,C00901918,between_primary_runoff,10000,10000,2.00
01093,C00369033,pre_primary,29267,29267,37.96
01093,C00919084,between_primary_runoff,1597,1597,0.38
01093,C00919084,post_runoff,12420,12420,0.25
01093,C00919084,pre_primary,2235,2235,0.38
01095,C00901918,between_primary_runoff,500000,350000,1.00
01095,C00919084,between_primary_runoff,10687,10687,1.80
01095,C00919084,post_runoff,37403,37403,2.77
01097,C00901918,between_primary_runoff,33833,33833,4.00
01097,C00919084,between_primary_runoff,169492,169492,13.00
01097,C00919084,post_runoff,78027,78027,15.00
01097,C00919084,pre_primary,105000,105000,5.00
01101,C00901918,between_primary_runoff,36435,36435,2.00
01101,C00901918,post_runoff,105143,105143,2.00
01101,C00919084,between_primary_runoff,62000,62000,8.00
01101,C00919084,post_runoff,62082,62082,10.00
01101,C00919084,pre_primary,45821,45821,6.95
01105,C00919084,post_runoff,124,124,0.04
01107,C00919084,post_runoff,100000,100000,1.00
01107,C00919084,pre_primary,150051,150051,2.00
01111,C00901918,between_primary_runoff,4593,4593,0.51
01115,C00919084,pre_primary,24943,24943,1.00
01117,C00369033,between_primary_runoff,184,184,0.01
01117,C00901918,post_runoff,367,367,0.01
01117,C00901918,pre_primary,11231,11231,0.45
01117,C00919084,between_primary_runoff,35256,35256,10.11
01117,C00919084,post_runoff,38464,38464,5.45
01117,C00919084,pre_primary,219828,219828,10.41
01123,C00919084,between_primary_runoff,835,835,1.67
01123,C00919084,post_runoff,6363,6363,1.67
01123,C00919084,pre_primary,50000,50000,1.00
01125,C00919084,between_primary_runoff,23000,23000,8.00
01125,C00919084,post_runoff,31500,31500,6.00
01125,C00919084,pre_primary,1236,1236,0.02
01127,C00919084,between_primary_runoff,25000,25000,1.00
01133,C00919084,post_runoff,36294,36294,0.72
02020,C00901918,between_primary_runoff,65707,65707,10.00
02020,C00919084,between_primary_runoff,654600,654600,43.00
02020,C00919084,post_runoff,1357896,1357896,41.00
02020,C00919084,pre_primary,643100,643100,44.00
02060,C00919084,between_primary_runoff,5000,5000,1.00
02060,C00919084,post_runoff,20000,20000,2.00
02063,C00919084,between_primary_runoff,40000,40000,2.00
02063,C00919084,post_runoff,10000,10000,1.00
02063,C00919084,pre_primary,10000,10000,1.00
02070,C00919084,between_primary_runoff,7000,7000,3.00
02070,C00919084,post_runoff,1000,1000,1.00
02070,C00919084,pre_primary,5000,5000,1.00
02090,C00919084,between_primary_runoff,104000,104000,22.00
02090,C00919084,post_runoff,83500,83500,14.00
02090,C00919084,pre_primary,249000,249000,26.00
02110,C00919084,between_primary_runoff,128500,128500,17.00
02110,C00919084,post_runoff,111000,111000,14.00
02110,C00919084,pre_primary,62500,62500,8.00
02122,C00919084,between_primary_runoff,261500,261500,18.00
02122,C00919084,post_runoff,76500,76500,11.00
02122,C00919084,pre_primary,243500,243500,26.00
02130,C00919084,between_primary_runoff,30500,30500,7.00
02130,C00919084,post_runoff,5000,5000,1.00
02130,C00919084,pre_primary,64500,64500,15.00
02150,C00919084,between_primary_runoff,4000,4000,4.00
02150,C00919084,post_runoff,500,500,1.00
02150,C00919084,pre_primary,111000,111000,4.00
02170,C00901918,between_primary_runoff,10410,10410,1.00
02170,C00901918,pre_primary,59345,59345,4.00
02170,C00919084,between_primary_runoff,5000,5000,2.00
02170,C00919084,post_runoff,3000,3000,1.00
02180,C00919084,post_runoff,10000,10000,1.00
02185,C00901918,between_primary_runoff,10000,10000,1.00
02185,C00919084,post_runoff,12500,12500,1.00
02188,C00919084,between_primary_runoff,7500,7500,3.00
02188,C00919084,pre_primary,27500,27500,8.00
02220,C00901918,between_primary_runoff,16500,16500,2.00
02220,C00901918,post_runoff,5500,5500,1.00
02220,C00901918,pre_primary,104102,104102,1.00
02220,C00919084,pre_primary,50000,50000,1.00
02275,C00919084,pre_primary,5000,5000,1.00
04001,C00919084,post_runoff,70000,70000,2.00
04003,C00901918,between_primary_runoff,53631,53631,10.00
04003,C00901918,post_runoff,3103,3103,2.00
04003,C00901918,pre_primary,521,521,1.00
04003,C00919084,between_primary_runoff,32632,32632,20.99
04003,C00919084,post_runoff,63527,63527,10.10
04003,C00919084,pre_primary,35805,35805,8.89
04005,C00901918,between_primary_runoff,73,73,0.03
04005,C00901918,post_runoff,35,35,0.02
04005,C00901918,pre_primary,51,51,0.02
04005,C00919084,between_primary_runoff,94743,94743,13.22
04005,C00919084,post_runoff,31303,31303,4.76
04005,C00919084,pre_primary,194472,194472,23.52
04007,C00919084,between_primary_runoff,60000,60000,3.00
04007,C00919084,post_runoff,5000,5000,1.00
04007,C00919084,pre_primary,25000,25000,1.00
04009,C00919084,post_runoff,12500,12500,2.00
04011,C00919084,post_runoff,50000,50000,1.00
04013,C00369033,between_primary_runoff,143935,143935,14.00
04013,C00369033,pre_primary,556920,556920,55.00
04013,C00901918,between_primary_runoff,960553,960553,55.00
04013,C00901918,post_runoff,233524,233524,42.00
04013,C00901918,pre_primary,3236103,3236103,20.00
04013,C00919084,between_primary_runoff,3503583,3503583,338.59
04013,C00919084,post_runoff,3872474,3872474,268.56
