geoid,candidate,phase,positive_cents,net_cents,count
0100190315,C00919084,between_primary_runoff,105,105,0.02
0100192106,C00919084,between_primary_runoff,2089,2089,0.31
0100390207,C00919084,post_runoff,1458,1458,0.06
0100390207,C00919084,pre_primary,2917,2917,0.12
0100390846,C00919084,between_primary_runoff,33150,33150,4.18
0100390846,C00919084,post_runoff,45082,45082,3.50
0100390846,C00919084,pre_primary,170792,170792,11.96
0100390963,C00901918,between_primary_runoff,9718,9718,0.97
0100390963,C00919084,between_primary_runoff,158,158,0.02
0100391053,C00919084,between_primary_runoff,123348,123348,19.82
0100391053,C00919084,post_runoff,119459,119459,15.44
0100391053,C00919084,pre_primary,149081,149081,21.92
0100391152,C00369033,between_primary_runoff,2500,2500,1.00
0100391152,C00369033,pre_primary,35000,35000,14.00
0100391152,C00901918,between_primary_runoff,26,26,0.00
0100391152,C00919084,between_primary_runoff,52430,52430,11.19
0100391152,C00919084,post_runoff,30000,30000,6.00
0100391152,C00919084,pre_primary,6800,6800,4.00
0100392754,C00919084,between_primary_runoff,2,2,0.00
0100392754,C00919084,post_runoff,1,1,0.00
0100392754,C00919084,pre_primary,11,11,0.00
0100393042,C00901918,between_primary_runoff,256,256,0.03
0100393042,C00919084,between_primary_runoff,7912,7912,0.79
0100590630,C00919084,between_primary_runoff,341,341,0.14
0100590630,C00919084,post_runoff,1772,1772,0.41
0100591017,C00919084,between_primary_runoff,603,603,0.24
0100591017,C00919084,post_runoff,3136,3136,0.72
0100990414,C00919084,between_primary_runoff,69,69,0.03
0100990414,C00919084,post_runoff,825,825,0.06
0101191098,C00919084,pre_primary,1179,1179,0.05
0101192133,C00919084,between_primary_runoff,1490,1490,0.59
0101192133,C00919084,post_runoff,7751,7751,1.79
0101193249,C00919084,between_primary_runoff,67,67,0.03
0101193249,C00919084,post_runoff,343,343,0.08
0101590099,C00901918,pre_primary,50000,50000,3.00
0101590099,C00919084,between_primary_runoff,3443,3443,1.37
0101590099,C00919084,post_runoff,1721,1721,0.69
0101590585,C00919084,between_primary_runoff,1543,1543,0.62
0101590585,C00919084,post_runoff,1322,1322,0.40
0101591746,C00919084,post_runoff,889,889,0.15
0101592556,C00919084,post_runoff,6372,6372,1.11
0101791107,C00901918,between_primary_runoff,958,958,0.11
0101791107,C00901918,post_runoff,56,56,0.03
0101791107,C00901918,pre_primary,280,280,0.03
0101791818,C00901918,between_primary_runoff,182,182,0.02
0101791818,C00901918,post_runoff,11,11,0.01
0101791818,C00901918,pre_primary,53,53,0.01
0101791827,C00901918,between_primary_runoff,28883,28883,3.37
0101791827,C00901918,post_runoff,1685,1685,0.84
0101791827,C00901918,pre_primary,8426,8426,0.84
0101793272,C00901918,between_primary_runoff,4253,4253,0.50
0101793272,C00901918,post_runoff,248,248,0.12
0101793272,C00901918,pre_primary,1241,1241,0.12
0101990522,C00919084,post_runoff,1397,1397,0.24
0101992983,C00919084,post_runoff,1055,1055,0.18
0102193285,C00919084,between_primary_runoff,17806,17806,2.67
0102790126,C00901918,between_primary_runoff,12298,12298,1.93
0102790126,C00901918,post_runoff,9201,9201,1.68
0102791899,C00901918,between_primary_runoff,20223,20223,2.26
0102791899,C00901918,post_runoff,69,69,0.01
0102792142,C00901918,between_primary_runoff,1887,1887,0.31
0102792142,C00901918,post_runoff,1730,1730,0.31
0102991251,C00919084,post_runoff,351,351,0.06
0102991593,C00919084,between_primary_runoff,14,14,0.01
0102991593,C00919084,post_runoff,7,7,0.00
0103391863,C00901918,between_primary_runoff,3773,3773,0.57
0103391863,C00901918,pre_primary,943,943,0.19
0103391863,C00919084,between_primary_runoff,24785,24785,0.99
0103391863,C00919084,post_runoff,2468,2468,0.02
0103391863,C00919084,pre_primary,59484,59484,1.98
0103393186,C00901918,between_primary_runoff,16227,16227,2.43
0103393186,C00901918,pre_primary,4057,4057,0.81
0103393186,C00919084,between_primary_runoff,215,215,0.01
0103393186,C00919084,pre_primary,516,516,0.02
0103791350,C00919084,between_primary_runoff,14,14,0.03
0103791350,C00919084,post_runoff,104,104,0.03
0103792763,C00919084,between_primary_runoff,101,101,0.20
0103792763,C00919084,post_runoff,767,767,0.20
0104390180,C00919084,between_primary_runoff,3,3,0.00
0104390180,C00919084,post_runoff,31,31,0.00
0104390810,C00919084,pre_primary,42459,42459,0.84
0104391647,C00919084,pre_primary,3318,3318,0.07
0104392934,C00919084,pre_primary,309,309,0.01
0104393420,C00919084,pre_primary,3914,3914,0.08
0104792844,C00919084,post_runoff,179,179,0.06
0104792880,C00919084,post_runoff,4574,4574,1.53
0104792883,C00919084,post_runoff,1123,1123,0.37
0104990792,C00919084,between_primary_runoff,1359,1359,0.14
0104990792,C00919084,post_runoff,1359,1359,0.14
0104991323,C00919084,between_primary_runoff,382,382,0.04
0104991323,C00919084,post_runoff,382,382,0.04
0105190945,C00919084,between_primary_runoff,51,51,0.10
0105190945,C00919084,post_runoff,391,391,0.10
0105190945,C00919084,pre_primary,4459,4459,1.79
0105193087,C00919084,pre_primary,153,153,0.06
0105193141,C00919084,pre_primary,384,384,0.15
0105193456,C00919084,pre_primary,4,4,0.00
0105591278,C00901918,between_primary_runoff,6983,6983,1.62
0105591278,C00901918,post_runoff,7791,7791,1.62
0105591638,C00919084,post_runoff,1013,1013,0.17
0105591980,C00901918,between_primary_runoff,1661,1661,0.38
0105591980,C00901918,post_runoff,1853,1853,0.38
0105790279,C00919084,pre_primary,2077,2077,0.04
0105791089,C00919084,pre_primary,39375,39375,0.80
0105792380,C00919084,pre_primary,1536,1536,0.03
0105793495,C00919084,pre_primary,4995,4995,0.10
0105992547,C00919084,between_primary_runoff,9813,9813,2.36
0105992547,C00919084,post_runoff,1286,1286,0.03
0105992547,C00919084,pre_primary,13739,13739,2.36
0105992799,C00919084,between_primary_runoff,1070,1070,0.26
0105992799,C00919084,pre_primary,1498,1498,0.26
0105993312,C00919084,between_primary_runoff,20,20,0.00
0105993312,C00919084,pre_primary,27,27,0.00
0106790009,C00919084,between_primary_runoff,10061,10061,0.50
0106790009,C00919084,pre_primary,25152,25152,0.50
0106791485,C00919084,between_primary_runoff,781,781,0.04
0106791485,C00919084,pre_primary,1953,1953,0.04
0106792907,C00919084,between_primary_runoff,9158,9158,0.46
0106792907,C00919084,pre_primary,22895,22895,0.46
0107192475,C00919084,between_primary_runoff,1702,1702,0.04
0107192475,C00919084,pre_primary,6381,6381,0.04
0107192637,C00919084,between_primary_runoff,3635,3635,0.09
0107192637,C00919084,pre_primary,13630,13630,0.09
0107192862,C00919084,between_primary_runoff,33880,33880,0.85
0107192862,C00919084,pre_primary,127051,127051,0.85
0107193006,C00919084,between_primary_runoff,783,783,0.02
0107193006,C00919084,pre_primary,2938,2938,0.02
0107390324,C00369033,between_primary_runoff,174571,174571,3.98
0107390324,C00369033,pre_primary,50073,50073,1.00
0107390324,C00901918,between_primary_runoff,100138,100138,1.00
0107390324,C00901918,post_runoff,57322,57322,3.93
0107390324,C00901918,pre_primary,26082,26082,1.04
0107390324,C00919084,between_primary_runoff,231058,231058,27.42
0107390324,C00919084,post_runoff,288204,288204,24.15
0107390324,C00919084,pre_primary,621867,621867,29.07
0107390405,C00369033,pre_primary,732,732,0.01
0107390405,C00919084,between_primary_runoff,146,146,0.01
0107390405,C00919084,pre_primary,1025,1025,0.06
0107391296,C00369033,pre_primary,49148,49148,0.99
0107391296,C00919084,between_primary_runoff,9830,9830,0.99
0107391296,C00919084,pre_primary,68808,68808,3.93
0107391431,C00901918,pre_primary,4652,4652,0.19
0107391431,C00919084,between_primary_runoff,6513,6513,1.49
0107391431,C00919084,post_runoff,3442,3442,0.74
0107391431,C00919084,pre_primary,18607,18607,0.19
0107391656,C00901918,between_primary_runoff,202462,202462,1.00
0107391656,C00901918,post_runoff,148,148,0.04
0107391656,C00901918,pre_primary,8035,8035,0.32
0107391656,C00919084,between_primary_runoff,26898,26898,6.49
0107391656,C00919084,post_runoff,41379,41379,6.27
0107391656,C00919084,pre_primary,35944,35944,1.41
0107391791,C00369033,pre_primary,47,47,0.00
0107391791,C00919084,between_primary_runoff,9,9,0.00
0107391791,C00919084,pre_primary,65,65,0.00
0107391845,C00369033,between_primary_runoff,246,246,0.01
0107391845,C00901918,post_runoff,491,491,0.02
0107391845,C00919084,between_primary_runoff,1711,1711,0.49
0107391845,C00919084,post_runoff,3831,3831,0.38
0107391845,C00919084,pre_primary,20239,20239,0.93
0107592151,C00919084,pre_primary,60,60,0.00
0107593033,C00369033,pre_primary,29,29,0.04
0107593294,C00919084,pre_primary,669,669,0.01
0107791143,C00919084,post_runoff,14907,14907,2.98
0107792412,C00919084,post_runoff,93,93,0.02
0107991548,C00919084,post_runoff,45452,45452,0.45
0107992286,C00919084,post_runoff,4454,4454,0.04
0107993159,C00919084,post_runoff,47626,47626,0.49
0108190162,C00919084,between_primary_runoff,13035,13035,2.53
0108190162,C00919084,post_runoff,21026,21026,0.84
0108190243,C00919084,between_primary_runoff,726,726,0.14
0108190243,C00919084,post_runoff,1170,1170,0.05
0108191944,C00919084,between_primary_runoff,1412,1412,0.27
0108191944,C00919084,post_runoff,2277,2277,0.09
0108390144,C00919084,between_primary_runoff,13760,13760,1.76
0108390144,C00919084,post_runoff,52690,52690,3.04
0108390144,C00919084,pre_primary,51097,51097,2.44
0108392232,C00919084,between_primary_runoff,18619,18619,0.75
0108392232,C00919084,post_runoff,3627,3627,0.24
0108392817,C00919084,pre_primary,1371,1371,0.05
0108791917,C00919084,between_primary_runoff,283,283,0.05
0108791917,C00919084,post_runoff,456,456,0.02
0108792403,C00919084,between_primary_runoff,43,43,0.01
0108792403,C00919084,post_runoff,69,69,0.00
0108991467,C00919084,between_primary_runoff,15,15,0.00
0108991467,C00919084,post_runoff,31379,31379,0.63
0108991467,C00919084,pre_primary,1,1,0.00
0108991575,C00919084,between_primary_runoff,553,553,0.22
0108991575,C00919084,post_runoff,184,184,0.07
0108991575,C00919084,pre_primary,184,184,0.04
0108991674,C00901918,between_primary_runoff,15720,15720,3.07
0108991674,C00901918,post_runoff,5000,5000,1.00
0108991674,C00901918,pre_primary,40750,40750,8.07
0108991674,C00919084,between_primary_runoff,311675,311675,34.41
0108991674,C00919084,post_runoff,200243,200243,23.33
0108991674,C00919084,pre_primary,83995,83995,8.96
0108992052,C00901918,between_primary_runoff,8458,8458,0.85
0108992052,C00901918,pre_primary,8804,8804,0.85
0108992052,C00919084,between_primary_runoff,52794,52794,5.92
0108992052,C00919084,post_runoff,23259,23259,1.70
0108992052,C00919084,pre_primary,33831,33831,3.38
0108992061,C00919084,between_primary_runoff,32,32,0.01
0108992061,C00919084,post_runoff,11,11,0.00
0108992061,C00919084,pre_primary,22,22,0.00
0108992349,C00919084,between_primary_runoff,1216,1216,0.24
0108992349,C00919084,post_runoff,32053,32053,0.86
0108992695,C00919084,between_primary_runoff,60,60,0.00
