level,state,candidate,phase,positive_cents,net_cents,count
cbsa,AK,C00901918,between_primary_runoff,26500,26500,3.00
cbsa,AK,C00901918,post_runoff,5500,5500,1.00
cbsa,AK,C00901918,pre_primary,104102,104102,1.00
cbsa,AK,C00919084,between_primary_runoff,325000,325000,31.00
cbsa,AK,C00919084,post_runoff,130500,130500,18.00
cbsa,AK,C00919084,pre_primary,452000,452000,42.00
cbsa,AL,C00369033,pre_primary,29296,29296,38.00
cbsa,AL,C00901918,between_primary_runoff,49000,49000,7.00
cbsa,AL,C00901918,post_runoff,11000,11000,2.00
cbsa,AL,C00919084,between_primary_runoff,3168,3168,1.01
cbsa,AL,C00919084,post_runoff,59743,59743,3.36
cbsa,AL,C00919084,pre_primary,52127,52127,1.40
cbsa,AR,C00901918,between_primary_runoff,110311,110311,8.38
cbsa,AR,C00901918,post_runoff,21501,21501,0.83
cbsa,AR,C00901918,pre_primary,31214,31214,3.00
cbsa,AR,C00919084,between_primary_runoff,95772,95772,20.97
cbsa,AR,C00919084,post_runoff,108325,108325,12.98
cbsa,AR,C00919084,pre_primary,94328,94328,22.96
cbsa,AZ,C00919084,post_runoff,120000,120000,3.00
cbsa,CA,C00369033,between_primary_runoff,50000,50000,1.00
cbsa,CA,C00369033,pre_primary,100000,100000,2.00
cbsa,CA,C00901918,between_primary_runoff,50007,50007,5.00
cbsa,CA,C00901918,post_runoff,15007,15007,1.00
cbsa,CA,C00901918,pre_primary,106876,106876,11.09
cbsa,CA,C00919084,between_primary_runoff,387102,387102,37.35
cbsa,CA,C00919084,post_runoff,219654,219654,26.92
cbsa,CA,C00919084,pre_primary,160194,160194,31.04
cbsa,CO,C00369033,between_primary_runoff,4721,4721,0.09
cbsa,CO,C00901918,pre_primary,104102,104102,1.00
cbsa,CO,C00919084,between_primary_runoff,1213146,1213146,60.48
cbsa,CO,C00919084,post_runoff,656885,656885,40.53
cbsa,CO,C00919084,pre_primary,972733,972733,89.51
cbsa,FL,C00901918,between_primary_runoff,125648,125648,5.72
cbsa,FL,C00901918,post_runoff,3538,3538,0.97
cbsa,FL,C00901918,pre_primary,25552,25552,10.68
cbsa,FL,C00919084,between_primary_runoff,1565,1565,1.56
cbsa,FL,C00919084,post_runoff,2335,2335,0.78
cbsa,FL,C00919084,pre_primary,7,7,0.00
cbsa,GA,C00369033,pre_primary,110153,110153,11.94
cbsa,GA,C00901918,between_primary_runoff,368769,94535,1.26
cbsa,GA,C00901918,post_runoff,6,6,0.00
cbsa,GA,C00901918,pre_primary,764,764,0.04
cbsa,GA,C00919084,between_primary_runoff,418657,418657,29.84
cbsa,GA,C00919084,post_runoff,355112,355112,17.87
cbsa,GA,C00919084,pre_primary,217110,217110,19.37
cbsa,IA,C00369033,between_primary_runoff,2500,2500,1.00
cbsa,IA,C00369033,pre_primary,35000,35000,14.00
cbsa,IA,C00919084,between_primary_runoff,131314,131314,24.95
cbsa,IA,C00919084,post_runoff,61000,61000,7.14
cbsa,IA,C00919084,pre_primary,167607,167607,17.65
cbsa,ID,C00901918,between_primary_runoff,53738,53738,1.37
cbsa,ID,C00901918,post_runoff,1246,1246,0.12
cbsa,ID,C00901918,pre_primary,61246,61246,2.12
cbsa,ID,C00919084,between_primary_runoff,58171,58171,7.11
cbsa,ID,C00919084,post_runoff,110130,110130,8.04
cbsa,ID,C00919084,pre_primary,90,90,0.04
cbsa,IL,C00369033,pre_primary,55000,55000,3.00
cbsa,IL,C00901918,between_primary_runoff,17261,17261,0.86
cbsa,IL,C00919084,between_primary_runoff,200288,200288,15.28
cbsa,IL,C00919084,post_runoff,113494,113494,11.27
cbsa,IL,C00919084,pre_primary,60549,60549,2.01
cbsa,IN,C00901918,between_primary_runoff,140,140,0.01
cbsa,IN,C00901918,post_runoff,41,41,0.00
cbsa,IN,C00901918,pre_primary,96,96,0.01
cbsa,IN,C00919084,between_primary_runoff,3996,3996,1.66
cbsa,IN,C00919084,post_runoff,120877,120877,10.58
cbsa,IN,C00919084,pre_primary,1277,1277,0.12
cbsa,KS,C00369033,between_primary_runoff,206,206,0.00
cbsa,KS,C00369033,pre_primary,99,99,0.00
cbsa,KS,C00901918,between_primary_runoff,53034,53034,5.01
cbsa,KS,C00901918,post_runoff,19367,19367,4.00
cbsa,KS,C00901918,pre_primary,232512,232512,10.01
cbsa,KS,C00919084,between_primary_runoff,29662,29662,11.01
cbsa,KS,C00919084,post_runoff,10000,10000,1.00
cbsa,KS,C00919084,pre_primary,4617,4617,3.00
cbsa,KY,C00369033,pre_primary,254,254,0.01
cbsa,KY,C00919084,between_primary_runoff,21657,21657,5.66
cbsa,KY,C00919084,post_runoff,108150,108150,3.00
cbsa,KY,C00919084,pre_primary,11871,11871,4.68
cbsa,LA,C00369033,pre_primary,52271,52271,1.08
cbsa,LA,C00901918,post_runoff,10000,10000,1.00
cbsa,LA,C00919084,between_primary_runoff,72765,72765,12.39
cbsa,LA,C00919084,post_runoff,65068,65068,8.66
cbsa,LA,C00919084,pre_primary,174908,174908,20.33
cbsa,MD,C00919084,between_primary_runoff,118282,118282,2.25
cbsa,MD,C00919084,post_runoff,123560,123560,2.65
cbsa,MD,C00919084,pre_primary,16200,16200,2.48
cbsa,ME,C00901918,between_primary_runoff,30000,30000,2.00
cbsa,ME,C00901918,post_runoff,5000,5000,1.00
cbsa,ME,C00901918,pre_primary,40000,40000,3.00
cbsa,ME,C00919084,between_primary_runoff,771192,771192,60.00
cbsa,ME,C00919084,post_runoff,890993,890993,55.01
cbsa,ME,C00919084,pre_primary,400000,400000,22.00
cbsa,MI,C00901918,post_runoff,18299,18299,11.00
cbsa,MI,C00901918,pre_primary,180000,180000,8.00
cbsa,MI,C00919084,between_primary_runoff,109961,109961,18.19
cbsa,MI,C00919084,post_runoff,114158,114158,13.23
cbsa,MI,C00919084,pre_primary,229905,229905,25.11
cbsa,MN,C00919084,between_primary_runoff,136903,136903,24.12
cbsa,MN,C00919084,post_runoff,119533,119533,21.59
cbsa,MN,C00919084,pre_primary,70062,70062,9.85
cbsa,MO,C00369033,between_primary_runoff,50264,50264,1.03
cbsa,MO,C00369033,pre_primary,51085,51085,1.02
cbsa,MO,C00901918,between_primary_runoff,26596,26596,7.82
cbsa,MO,C00901918,post_runoff,13890,13890,6.97
cbsa,MO,C00901918,pre_primary,36027,36027,2.00
cbsa,MO,C00919084,between_primary_runoff,49658,49658,11.32
cbsa,MO,C00919084,post_runoff,73431,73431,11.53
cbsa,MO,C00919084,pre_primary,93971,93971,19.07
cbsa,MS,C00369033,between_primary_runoff,64,64,0.00
cbsa,MS,C00369033,pre_primary,64,64,0.00
cbsa,MS,C00901918,between_primary_runoff,1096,1096,0.20
cbsa,MS,C00901918,post_runoff,166,166,0.02
cbsa,MS,C00901918,pre_primary,10000,10000,1.00
cbsa,MS,C00919084,between_primary_runoff,11629,11629,2.24
cbsa,MS,C00919084,post_runoff,69296,69296,4.13
cbsa,MS,C00919084,pre_primary,4288,4288,0.55
cbsa,MT,C00369033,between_primary_runoff,50000,50000,1.00
cbsa,MT,C00369033,pre_primary,179,179,0.00
cbsa,MT,C00901918,between_primary_runoff,17701,17701,7.00
cbsa,MT,C00901918,post_runoff,2700,2700,2.01
cbsa,MT,C00901918,pre_primary,135069,135069,19.00
cbsa,MT,C00919084,between_primary_runoff,322208,322208,42.00
cbsa,MT,C00919084,post_runoff,185028,185028,20.30
cbsa,MT,C00919084,pre_primary,438473,438473,39.59
cbsa,NC,C00369033,between_primary_runoff,50514,50514,2.00
cbsa,NC,C00369033,pre_primary,57000,57000,15.00
cbsa,NC,C00901918,between_primary_runoff,56272,56272,4.55
cbsa,NC,C00901918,post_runoff,35287,35287,3.00
cbsa,NC,C00901918,pre_primary,74239,74239,2.08
cbsa,NC,C00919084,between_primary_runoff,1098519,1098519,57.04
cbsa,NC,C00919084,post_runoff,176609,176609,28.36
cbsa,NC,C00919084,pre_primary,1061932,1061932,42.98
cbsa,ND,C00901918,between_primary_runoff,7500,7500,1.00
cbsa,ND,C00901918,post_runoff,7500,7500,1.00
cbsa,ND,C00901918,pre_primary,50000,50000,2.00
cbsa,ND,C00919084,between_primary_runoff,22143,22143,1.86
cbsa,ND,C00919084,post_runoff,22901,22901,2.71
cbsa,ND,C00919084,pre_primary,10000,10000,1.00
cbsa,NE,C00369033,between_primary_runoff,1620,1620,0.03
cbsa,NE,C00919084,between_primary_runoff,100790,100790,17.02
cbsa,NE,C00919084,post_runoff,130549,130549,7.07
cbsa,NE,C00919084,pre_primary,296017,296017,15.00
cbsa,NH,C00919084,between_primary_runoff,253961,253961,21.00
cbsa,NH,C00919084,post_runoff,233971,233971,14.00
cbsa,NH,C00919084,pre_primary,121321,121321,5.00
cbsa,NM,C00919084,between_primary_runoff,62655,62655,8.03
cbsa,NM,C00919084,post_runoff,142656,142656,4.05
cbsa,NM,C00919084,pre_primary,26327,26327,1.03
cbsa,NV,C00901918,between_primary_runoff,10000,10000,1.00
cbsa,NV,C00901918,pre_primary,15000,15000,1.00
cbsa,NV,C00919084,between_primary_runoff,10000,10000,2.00
cbsa,NV,C00919084,post_runoff,5000,5000,1.00
cbsa,NY,C00901918,between_primary_runoff,331000,331000,7.00
cbsa,NY,C00901918,post_runoff,505544,505544,3.01
cbsa,NY,C00901918,pre_primary,15000,15000,2.00
cbsa,NY,C00919084,between_primary_runoff,116290,116290,23.44
cbsa,NY,C00919084,post_runoff,134521,134521,20.63
cbsa,NY,C00919084,pre_primary,136085,136085,7.74
cbsa,OH,C00901918,between_primary_runoff,15682,15682,0.05
cbsa,OH,C00901918,pre_primary,15682,15682,0.05
cbsa,OH,C00919084,between_primary_runoff,51578,51578,4.87
cbsa,OH,C00919084,post_runoff,11794,11794,1.20
cbsa,OH,C00919084,pre_primary,4247,4247,1.99
cbsa,OK,C00369033,between_primary_runoff,49988,49988,1.00
cbsa,OK,C00901918,between_primary_runoff,36051,36051,5.01
cbsa,OK,C00901918,post_runoff,2513,2513,1.01
cbsa,OK,C00901918,pre_primary,28536,28536,2.00
cbsa,OK,C00919084,between_primary_runoff,81922,81922,12.31
cbsa,OK,C00919084,post_runoff,149981,149981,13.92
cbsa,OK,C00919084,pre_primary,64898,64898,11.92
cbsa,OR,C00919084,between_primary_runoff,105000,105000,9.00
cbsa,OR,C00919084,post_runoff,46227,46227,6.00
cbsa,OR,C00919084,pre_primary,140000,140000,10.00
cbsa,PA,C00901918,between_primary_runoff,18887,18887,1.64
cbsa,PA,C00901918,pre_primary,9749,9749,0.34
cbsa,PA,C00919084,between_primary_runoff,79694,79694,19.04
cbsa,PA,C00919084,post_runoff,59301,59301,13.21
cbsa,PA,C00919084,pre_primary,98692,98692,7.43
cbsa,SC,C00369033,pre_primary,44243,44243,0.18
cbsa,SC,C00901918,between_primary_runoff,10000,10000,1.00
cbsa,SC,C00901918,post_runoff,20000,20000,1.00
cbsa,SC,C00901918,pre_primary,20000,20000,1.00
cbsa,SC,C00919084,between_primary_runoff,19869,19869,4.04
cbsa,SC,C00919084,post_runoff,64258,64258,8.27
cbsa,SC,C00919084,pre_primary,310,310,0.03
cbsa,SD,C00369033,pre_primary,224,224,0.00
cbsa,SD,C00901918,pre_primary,1142,1142,0.02
cbsa,SD,C00919084,between_primary_runoff,101835,101835,9.57
cbsa,SD,C00919084,post_runoff,33969,33969,3.00
cbsa,SD,C00919084,pre_primary,105283,105283,2.29
cbsa,TN,C00901918,between_primary_runoff,69005,69005,5.70
cbsa,TN,C00901918,post_runoff,990,990,0.98
cbsa,TN,C00901918,pre_primary,78804,78804,15.19
cbsa,TN,C00919084,between_primary_runoff,67269,67269,11.51
cbsa,TN,C00919084,post_runoff,32862,32862,7.00
cbsa,TN,C00919084,pre_primary,21790,21790,1.53
cbsa,TX,C00369033,between_primary_runoff,1994159,1994159,45.02
cbsa,TX,C00369033,pre_primary,2433306,2433306,106.37
cbsa,TX,C00901918,between_primary_runoff,4849386,4849386,268.52
cbsa,TX,C00901918,post_runoff,2145720,2102198,122.00
cbsa,TX,C00901918,pre_primary,13453508,13428508,356.58
cbsa,TX,C00919084,between_primary_runoff,7518892,7518892,880.96
cbsa,TX,C00919084,post_runoff,6419949,6419949,615.62
cbsa,TX,C00919084,pre_primary,10674451,10674451,695.13
cbsa,UT,C00901918,post_runoff,5000,5000,2.00
