geoid,population
10100,41925
10140,77053
10180,180408
10220,38235
10300,98415
10380,251769
10420,699820
10460,68816
10480,27718
10500,146018
10540,130706
10580,906052
10620,64651
10660,30623
10700,99748
10740,921482
10760,40938
10780,149622
10820,39575
10860,45793
10900,873603
10940,41385
10980,28880
11020,121277
11060,24678
11100,271917
11140,33574
11180,127134
11200,162028
11220,49528
11260,401964
11360,139150
11380,18610
11420,34726
11460,369822
11500,116090
11540,245768
11580,35386
11620,48555
11640,180767
11660,21125
11680,34411
11700,414711
11740,52256
11820,41363
11860,16208
11900,61737
11940,68227
11980,84862
12020,220197
12060,6256377
12100,371211
12140,43807
12180,75102
12220,199825
12260,624181
12300,126808
12380,40343
12420,2426592
12460,29195
12520,16840
12540,915075
12580,2849436
12620,154710
12660,66009
12700,231668
12740,60017
12780,53326
12860,57787
12900,38175
12940,875313
12980,133778
13020,103008
13060,36329
13100,21629
13140,396827
13180,88742
13220,112714
13260,45102
13300,31083
13340,46089
13380,230503
13420,46512
13460,257814
13540,37269
13660,41242
13700,32290
13740,189255
13780,245242
13820,1184613
13860,18739
13900,136216
13940,49664
13980,181664
14010,171556
14020,162569
14100,65362
14140,98187
14180,39126
14220,45120
14260,811115
14300,37326
14380,55123
14420,20184
14460,4953354
14500,328961
14540,186959
14580,124074
14620,39904
14660,98678
14700,56529
14710,45923
14720,38397
14740,277881
14780,36647
14820,33691
14860,956330
14940,66014
15020,34877
15060,23381
15100,35353
15180,426120
15220,38347
15260,115074
15340,41711
15380,1161343
15420,47691
15460,44680
15500,176893
15540,227846
15580,35785
15620,49284
15660,59100
15700,32754
15740,38223
15780,26789
15820,37766
15860,49634
15900,33020
15940,400372
15980,817666
16020,98169
16060,53064
16100,61105
16140,20594
16180,58384
16220,79977
16260,62252
16300,276624
16340,43785
16380,42484
16460,37000
16500,85154
16540,157379
16580,238842
16620,205398
16660,46777
16700,834267
16740,2768407
16820,224335
16860,575812
16940,101060
16980,9371595
17020,207929
17060,76492
17140,2270706
17220,89182
17260,20540
17300,334564
17340,68152
17380,29534
17410,2171526
17420,128963
17500,54945
17540,46268
17580,66566
17620,53901
17640,25079
17650,30449
17660,181996
17740,45300
17780,278335
17820,767824
17860,215014
17900,849181
17980,325615
18020,83536
18060,67863
18100,45357
18140,2175788
18180,155967
18220,23334
18260,145812
18300,64827
18340,149689
18380,19790
18420,34289
18460,47793
18500,92588
18580,448012
18620,54711
18660,46246
18700,96303
18740,36744
18820,38312
18860,27107
18880,299547
18900,63553
18980,90566
19060,94306
19100,7985590
19140,144160
19180,72386
19220,55445
19260,102070
19300,246989
19340,381503
19430,816080
19460,157747
19500,101849
19540,36227
19580,38343
19620,47741
19660,706150
19700,25611
19740,3002721
19760,36676
19780,731120
19810,35343
19820,4376828
19860,38366
19940,33869
19980,34074
20020,152674
20060,51684
20100,187604
20140,58988
20180,78635
20220,99030
20260,280870
20300,21373
20340,43551
20420,56331
20460,48253
20500,601724
20540,36508
20580,58082
20660,37917
20700,167515
20740,173915
20780,55135
20820,44856
20900,41794
20940,180202
20980,37900
21020,40834
21060,127049
21120,22148
21140,207132
21180,27576
21220,55632
21260,47172
21300,82147
21340,874182
21380,34747
21420,62146
21460,54920
21500,269052
21540,36813
21580,40070
21640,26907
21660,384207
21700,134541
21740,23275
21780,270494
21820,95460
21860,19780
21900,55909
21980,25805
22020,259459
22060,67917
22100,66999
22140,120942
22180,392380
22190,35946
22220,577726
22260,60475
22300,74866
22340,17089
22380,144508
22420,403305
22500,199675
22520,153852
22540,104137
22580,64930
22620,22400
22660,367368
22700,36886
22780,53894
22800,32893
22820,29520
22840,72269
22900,229899
23060,455416
23140,32944
23180,76195
23190,19972
23240,27524
23300,43768
23340,37351
23380,58778
23420,1177665
23460,103105
23500,56647
23540,349923
23580,212705
23620,43046
23660,49046
