geoid,population
0101,735406
0102,710301
0103,726115
0104,727005
0105,745693
0106,721709
0107,720539
0200,735706
0401,804578
0402,826257
0403,815927
0404,804739
0405,840221
0406,812709
0407,808224
0408,802956
0409,863227
0501,752719
0502,761775
0503,786435
0504,748462
0601,760971
0602,755468
0603,778710
0604,764257
0605,772813
0606,757721
0607,764052
0608,752539
0609,774084
0610,760299
0611,719712
0612,748393
0613,785894
0614,738570
0615,738509
0616,746476
0617,749526
0618,753842
0619,745177
0620,782028
0621,758000
0622,780759
0623,764069
0624,757747
0625,780646
0626,751824
0627,746656
0628,743063
0629,734777
0630,743383
0631,736368
0632,762403
0633,764959
0634,748464
0635,764518
0636,738907
0637,745432
0638,740416
0639,765795
0640,753713
0641,797949
0642,736570
0643,729891
0644,744757
0645,748896
0646,757342
0647,754999
0648,760621
0649,754648
0650,754032
0651,759191
0652,757541
0801,724976
0802,725063
0803,728794
0804,756186
0805,734906
0806,728750
0807,723678
0808,739836
0901,721392
0902,722183
0903,724297
0904,728656
0905,727980
09ZZ,0
1000,1021191
1100,681294
1201,793302
1202,792630
1203,798141
1204,797286
1205,818508
1206,816594
1207,789605
1208,801628
1209,821565
1210,788933
1211,826010
1212,820692
1213,769211
1214,786912
1215,813472
1216,830753
1217,828650
1218,825024
1219,808421
1220,792510
1221,812005
1222,786471
1223,778879
1224,793181
1225,780689
1226,804169
1227,764988
1228,775848
1301,787122
1302,754620
1303,785402
1304,765448
1305,764559
1306,778880
1307,790971
1308,774685
1309,800737
1310,801805
1311,784112
1312,774597
1313,794711
1314,782758
1501,719645
1502,725590
1601,986280
1602,947982
1701,739958
1702,742590
1703,739663
1704,729797
1705,751305
1706,747517
1707,744315
1708,746772
1709,745003
1710,753708
1711,754751
1712,746831
1713,747221
1714,763833
1715,746652
1716,748860
1717,746022
17ZZ,0
1801,757919
1802,752547
1803,762957
1804,772003
1805,773191
1806,763862
1807,752682
1808,755776
1809,760136
1901,800735
1902,795370
1903,816359
1904,798043
2001,731585
2002,732657
2003,744760
2004,738195
2101,753971
2102,765661
2103,748522
2104,762319
2105,742663
2106,761688
2201,771652
2202,763550
2203,770787
2204,769520
2205,778598
2206,757854
2301,695717
2302,692100
2401,781616
2402,771118
2403,781479
2404,758679
2405,791419
2406,796669
2407,753868
2408,771163
2501,777981
2502,787021
2503,785403
2504,787020
2505,778640
2506,784690
2507,773502
2508,781306
2509,788493
2601,783000
2602,784314
2603,779539
2604,778930
2605,773657
2606,771301
2607,778561
2608,770294
2609,778989
2610,771566
2611,775896
2612,761609
2613,770105
2701,715713
2702,730253
2703,708294
2704,705537
2705,707022
2706,734184
2707,716373
2708,722069
2801,746893
2802,713085
2803,738402
2804,748399
2901,752720
2902,771008
2903,780389
2904,782304
2905,772256
2906,775000
2907,785302
2908,772835
3001,564861
3002,552014
3101,662376
3102,664272
3103,652059
3201,771368
3202,790547
3203,809043
3204,813654
3301,698446
3302,696422
33ZZ,0
3401,778642
3402,783815
3403,783491
3404,788486
3405,778374
3406,780307
3407,783203
3408,763596
3409,767600
3410,777942
3411,779403
3412,778950
3501,711799
3502,707320
3503,701127
3601,778092
3602,782282
3603,770395
3604,773177
3605,789687
3606,733304
3607,753548
3608,759088
3609,737304
3610,733272
3611,752901
3612,719940
3613,778141
3614,718731
3615,751695
3616,775704
3617,777627
3618,786484
3619,774788
3620,782695
3621,770419
3622,767369
3623,770072
3624,771272
3625,771484
3626,772895
3701,747584
3702,766292
3703,760895
3704,769729
3705,751008
3706,769663
3707,778792
3708,765329
3709,765958
3710,766029
3711,758211
3712,770963
3713,792542
3714,767409
3800,784841
3901,794614
3902,787099
3903,789553
3904,797595
3905,788570
3906,779266
3907,781785
3908,788819
3909,781702
3910,786190
3911,773464
3912,798482
3913,783308
3914,785281
3915,794565
4001,809593
4002,804459
4003,797981
4004,804349
4005,812252
4101,707875
4102,708237
4103,699535
4104,710014
4105,714831
4106,713801
4201,767357
4202,746424
4203,762762
4204,774814
4205,765322
4206,779553
4207,775601
4208,768757
4209,765525
4210,779640
4211,772863
4212,760856
4213,765396
4214,757997
4215,758565
4216,762592
4217,754615
4401,546488
4402,555313
4501,763792
4502,749271
4503,750357
4504,765409
4505,758357
4506,745526
4507,763513
4600,907428
4701,782000
4702,792639
4703,788609
4704,799279
4705,796623
4706,788325
4707,791449
4708,767898
4709,759561
4801,779066
4802,814076
4803,846484
4804,823011
4805,806900
4806,793946
4807,796950
4808,846118
4809,776446
4810,797070
4811,777036
4812,816916
4813,782513
4814,777988
4815,790465
4816,776702
4817,791966
4818,791493
4819,773548
4820,783289
4821,810199
4822,833743
4823,770809
4824,761741
4825,806742
4826,830132
4827,777664
4828,789743
4829,752781
4830,779620
4831,843922
4832,767505
4833,777278
4834,778225
4835,819409
4836,784320
4837,774416
4838,788192
4901,846210
4902,852435
4903,821200
4904,872486
5000,647106
5101,804410
5102,787890
5103,776096
5104,796326
5105,798638
5106,790761
5107,806870
5108,776847
5109,780117
5110,802125
5111,785090
5301,783828
5302,781265
5303,788069
5304,781735
5305,788007
5306,782007
5307,779308
5308,781768
5309,772812
5310,777317
5401,877069
5402,901304
5501,733917
5502,748550
5503,739573
5504,725486
5505,742808
5506,738897
5507,743243
5508,742398
5600,582397
7200,3234309
