geoid,population
01001,59947
01003,246989
01005,24643
01007,22130
01009,59518
01011,10058
01013,18630
01015,116090
01017,34192
01019,25443
01021,45992
01023,12380
01025,22543
01027,14192
01029,15426
01031,54920
01033,58022
01035,11275
01037,10300
01039,37628
01041,13122
01043,90566
01045,49599
01047,36858
01049,72269
01051,89526
01053,36629
01055,103105
01057,16053
01059,31966
01061,26887
01063,7424
01065,14829
01067,17647
01069,108140
01071,53053
01073,667755
01075,13693
01077,95830
01079,33276
01081,181134
01083,111233
01085,9833
01087,18691
01089,405718
01091,18851
01093,29184
01095,99748
01097,412590
01099,19388
01101,226718
01103,124471
01105,8031
01107,18721
01109,32987
01111,22510
01113,58811
01115,94166
01117,230211
01119,11878
01121,81021
01123,40938
01125,237552
01127,64841
01129,15143
01131,10172
01133,23682
02013,3491
02016,5235
02020,288976
02050,18394
02060,918
02063,6862
02066,2626
02068,1969
02070,4724
02090,95460
02100,2086
02105,2311
02110,31794
02122,60413
02130,13768
02150,12771
02158,8176
02164,1013
02170,112988
02180,9866
02185,10810
02188,7441
02195,3409
02198,5715
02220,8368
02230,1244
02240,7068
02275,2088
02282,527
02290,5195
04001,65341
04003,125566
04005,144508
04007,53795
04009,39232
04011,9409
04012,16664
04013,4559748
04015,220517
04017,108415
04019,1060490
04021,469006
04023,48926
04025,245480
04027,211741
05001,16515
05003,18429
05005,42407
05007,303632
05009,38138
05011,10208
05013,4704
05015,28626
05017,9765
05019,21125
05021,14280
05023,25226
05025,7453
05027,22349
05029,21054
05031,113249
05033,61139
05035,47266
05037,16543
05039,6242
05041,10786
05043,17046
05045,127717
05047,17326
05049,12302
05051,100035
05053,18242
05055,46432
05057,19508
05059,33180
05061,12583
05063,38175
05065,14009
05067,16712
05069,64802
05071,26003
05073,6136
05075,16238
05077,8359
05079,12950
05081,11821
05083,21277
05085,75272
05087,17329
05089,17228
05091,42360
05093,39126
05095,6589
05097,8553
05099,8159
05101,7112
05103,22085
05105,10101
05107,15450
05109,10115
