geoid,population
0100190171,3680
0100190315,2969
0100192106,6844
0100192628,46454
0100390207,26975
0100390846,60163
0100390963,13091
0100391053,34400
0100391152,71716
0100392754,30626
0100393024,3952
0100393042,6066
0100590189,2995
0100590630,3377
0100590648,4041
0100591017,12760
0100591989,1470
0100790531,12162
0100792601,1261
0100793438,8707
0100990333,7490
0100990414,4724
0100990612,5856
0100990639,4389
0100991557,13430
0100991953,8487
0100992439,15142
0101191098,527
0101191701,1644
0101192133,1463
0101193249,6424
0101390540,1634
0101391170,975
0101391314,3844
0101391422,12177
0101590066,11469
0101590099,65445
0101590585,7042
0101591746,20050
0101592430,4799
0101592556,7285
0101791107,2415
0101791818,4729
0101791827,10692
0101792169,949
0101793272,13802
0101793393,1605
0101990513,6852
0101990522,8527
0101991854,5267
0101992983,4797
0102190603,14796
0102191710,3555
0102191764,15382
0102192097,3543
0102192178,3763
0102193285,4953
0102390441,4611
0102391332,3343
0102391908,2030
0102392925,2396
0102590675,1229
0102591260,1580
0102591440,4845
0102591726,6917
0102593132,4882
0102593362,3090
0102790126,6072
0102791899,5598
0102792142,2522
0102991251,2767
0102991593,7760
0102992682,4899
0103190954,6470
0103190999,40329
0103191341,2555
0103191719,2031
0103191800,1657
0103193303,1878
0103390567,3862
0103391863,7792
0103391926,8242
0103393186,38126
0103590504,2632
0103591044,4955
0103592016,1341
0103592718,1646
0103592916,701
0103791350,3366
0103792763,3287
0103793429,3647
0103990090,18100
0103991062,2084
0103991134,3432
0103992448,9354
0103992781,4658
0104190360,2714
0104192007,5893
0104192529,4515
0104390180,6437
0104390369,8892
0104390774,2912
0104390810,30008
0104391521,7670
0104391647,5089
0104391773,5056
0104391962,4192
0104392934,8487
0104393330,9417
0104393420,2406
0104590828,11197
0104590936,2505
0104591215,4720
0104592376,10207
0104592466,20970
0104790486,625
0104792457,2059
0104792808,536
0104792844,1431
0104792880,27347
0104792883,4860
0104990693,4149
0104990792,10017
0104991206,19613
0104991269,5968
0104991323,5673
0104991611,3586
0104991692,5871
0104992655,13939
0104993276,3453
0105190855,10560
0105190945,8361
0105190972,30525
0105193087,8153
0105193141,5617
0105193456,26310
0105390153,11398
0105390378,11032
0105390927,5869
0105391125,3357
0105392034,4973
0105590081,5140
0105591278,70270
0105591638,9445
0105591980,2653
0105592268,9530
0105593213,4243
0105593465,1824
0105790279,3581
0105791089,7744
0105792380,1342
0105793495,3386
0105992547,5850
0105992691,4711
0105992799,19944
0105993312,1461
0106190252,1673
0106191305,5558
0106191530,5458
0106192835,4931
0106192952,9267
0106390342,342
0106391026,3861
0106391179,1672
0106392088,1549
0106591413,3313
0106591414,1290
0106591415,650
0106592259,4950
0106592345,1492
0106592853,1803
0106593015,1331
0106790009,4931
0106791485,1737
0106791584,8067
0106792907,2912
0106990702,1348
0106990747,5513
0106990900,90606
0106991368,2050
0106992070,8623
0107190387,3443
0107191971,6093
0107192475,3546
0107192610,3829
0107192637,2334
0107192862,21011
0107192871,7240
0107193006,5557
0107390324,443755
0107390405,3961
0107390621,14213
0107390722,7059
0107391296,23126
0107391404,11416
0107391431,25943
0107391656,55474
0107391791,11392
0107391845,16908
0107392124,4021
0107392385,5332
0107392484,6265
0107392745,5853
0107393204,22600
0107393366,6638
0107393447,3799
0107592151,4204
0107593033,4278
0107593294,5211
0107790657,6384
0107791143,52880
0107791782,16621
0107791872,5148
0107792412,4074
0107792772,8568
0107793384,2155
0107991548,4693
0107991629,1737
0107992241,9899
0107992250,8675
0107992286,1669
0107992979,2379
0107993159,4224
0108190162,107934
0108190243,12628
0108190288,8017
0108191944,13656
0108192962,38899
0108390144,84585
0108392232,22747
0108392817,3901
0108590270,2115
0108591197,2643
0108591566,2955
0108591998,554
0108592245,1566
0108791188,766
0108791917,1013
0108792403,2541
0108792898,1866
0108793230,11711
0108793376,794
0108991467,21596
0108991575,13745
0108991674,257349
0108992052,46840
0108992061,12722
0108992349,17341
0108992358,17651
0108992695,1153
0108993176,17321
0109190873,9653
0109190882,2181
0109191080,537
0109191890,3567
0109193051,1898
0109193123,1015
0109390225,4168
0109390297,1264
0109390396,2005
0109391449,3064
0109391476,2828
0109391512,10365
0109393492,5490
0109590054,41413
0109590108,15460
0109590918,6995
0109591395,10924
0109591458,14989
0109593150,3137
0109593240,6830
0109790216,9743
0109790594,9644
0109791386,34643
0109792187,228699
0109792304,4215
0109792889,27177
0109793105,77331
0109793114,21138
0109990234,859
0109991233,5726
0109992196,9026
0109992520,1064
0109993267,1393
