geoid,population
AK,735706
AL,5086768
AR,3049391
AZ,7378838
CA,39287377
CO,5862189
CT,3624508
DC,681294
DE,1021191
FL,22416077
GA,10940407
HI,1445235
IA,3210507
ID,1934262
IL,12694798
IN,6851073
KS,2947197
KY,4534824
LA,4611961
MA,7044056
MD,6206011
ME,1387817
MI,10077761
MN,5739445
MO,6191814
MS,2946779
MT,1116875
NC,10730404
ND,784841
NE,1978707
NH,1394868
NJ,9343809
NM,2120246
NV,3184612
NY,19852366
OH,11810293
OK,4028634
OR,4254293
PA,13018639
PR,3234309
RI,1101801
SC,5296225
SD,907428
TN,7066383
TX,30188424
UT,3392331
VA,8705170
VT,647106
WA,7816116
WI,5914872
WV,1778373
WY,582397
