state,zip,candidate,phase,positive_cents,net_cents,count
AE,09142,C00919084,between_primary_runoff,25000,25000,1
AE,09751,C00919084,between_primary_runoff,2000,2000,2
AE,09751,C00919084,post_runoff,1000,1000,1
AE,09751,C00919084,pre_primary,20000,20000,2
AE,09777,C00919084,between_primary_runoff,100000,100000,1
AK,99501,C00919084,between_primary_runoff,30000,30000,3
AK,99501,C00919084,post_runoff,110000,110000,3
AK,99501,C00919084,pre_primary,30000,30000,2
AK,99502,C00919084,between_primary_runoff,50000,50000,1
AK,99502,C00919084,post_runoff,100000,100000,1
AK,99502,C00919084,pre_primary,50000,50000,1
AK,99503,C00919084,between_primary_runoff,25000,25000,1
AK,99503,C00919084,post_runoff,10000,10000,1
AK,99504,C00919084,between_primary_runoff,2500,2500,1
AK,99504,C00919084,post_runoff,7000,7000,3
AK,99506,C00919084,post_runoff,5000,5000,2
AK,99507,C00919084,between_primary_runoff,26400,26400,3
AK,99507,C00919084,post_runoff,720700,720700,5
AK,99507,C00919084,pre_primary,207100,207100,11
AK,99508,C00901918,between_primary_runoff,40707,40707,9
AK,99508,C00919084,between_primary_runoff,15500,15500,4
AK,99508,C00919084,post_runoff,30000,30000,2
AK,99508,C00919084,pre_primary,115000,115000,6
AK,99515,C00919084,between_primary_runoff,5000,5000,1
AK,99515,C00919084,post_runoff,60000,60000,4
AK,99515,C00919084,pre_primary,10000,10000,2
AK,99516,C00919084,between_primary_runoff,277500,277500,9
AK,99516,C00919084,post_runoff,100000,100000,7
AK,99516,C00919084,pre_primary,40000,40000,3
AK,99517,C00919084,between_primary_runoff,82500,82500,4
AK,99517,C00919084,post_runoff,35000,35000,3
AK,99517,C00919084,pre_primary,50000,50000,3
AK,99518,C00919084,between_primary_runoff,66700,66700,4
AK,99518,C00919084,pre_primary,10000,10000,4
AK,99523,C00919084,pre_primary,25000,25000,1
AK,99524,C00919084,pre_primary,12500,12500,1
AK,99540,C00919084,between_primary_runoff,15000,15000,1
AK,99540,C00919084,post_runoff,115000,115000,3
AK,99567,C00919084,between_primary_runoff,2500,2500,1
AK,99567,C00919084,post_runoff,6696,6696,2
AK,99567,C00919084,pre_primary,55000,55000,2
AK,99576,C00919084,between_primary_runoff,7000,7000,3
AK,99576,C00919084,post_runoff,1000,1000,1
AK,99576,C00919084,pre_primary,5000,5000,1
AK,99577,C00901918,between_primary_runoff,25000,25000,1
AK,99577,C00919084,between_primary_runoff,51000,51000,8
AK,99577,C00919084,post_runoff,56000,56000,4
AK,99577,C00919084,pre_primary,38500,38500,8
AK,99587,C00919084,between_primary_runoff,5000,5000,2
AK,99587,C00919084,post_runoff,2500,2500,1
AK,99603,C00919084,between_primary_runoff,26500,26500,7
AK,99603,C00919084,post_runoff,13000,13000,3
AK,99603,C00919084,pre_primary,40000,40000,6
AK,99605,C00919084,between_primary_runoff,15000,15000,1
AK,99605,C00919084,post_runoff,7500,7500,1
AK,99605,C00919084,pre_primary,142500,142500,13
AK,99613,C00919084,between_primary_runoff,5000,5000,1
AK,99613,C00919084,post_runoff,20000,20000,2
AK,99615,C00919084,between_primary_runoff,4000,4000,4
AK,99615,C00919084,post_runoff,500,500,1
