state,candidate,month,positive_cents,net_cents,count
AE,C00919084,2026-02,20000,20000,2
AE,C00919084,2026-03,25000,25000,1
AE,C00919084,2026-04,1000,1000,1
AE,C00919084,2026-05,101000,101000,2
AE,C00919084,2026-06,1000,1000,1
AK,C00901918,2025-04,36435,36435,2
AK,C00901918,2025-05,10410,10410,1
AK,C00901918,2025-11,12500,12500,1
AK,C00901918,2026-01,104102,104102,1
AK,C00901918,2026-03,35410,35410,2
AK,C00901918,2026-04,10000,10000,1
AK,C00901918,2026-05,57207,57207,11
AK,C00901918,2026-06,5500,5500,1
AK,C00919084,2025-09,160000,160000,6
AK,C00919084,2025-10,100000,100000,10
AK,C00919084,2025-11,24500,24500,8
AK,C00919084,2025-12,112000,112000,19
AK,C00919084,2026-01,329700,329700,21
AK,C00919084,2026-02,711700,711700,65
AK,C00919084,2026-03,769200,769200,48
AK,C00919084,2026-04,155200,155200,41
AK,C00919084,2026-05,804400,804400,75
AK,C00919084,2026-06,1302896,1302896,67
AL,C00369033,2025-01,6600,6600,6
AL,C00369033,2025-02,8250,8250,10
AL,C00369033,2025-03,56600,56600,6
AL,C00369033,2025-04,3500,3500,2
AL,C00369033,2025-05,4100,4100,3
AL,C00369033,2025-06,2500,2500,1
AL,C00369033,2025-07,52500,52500,2
AL,C00369033,2025-08,2500,2500,1
AL,C00369033,2025-09,3500,3500,4
AL,C00369033,2025-10,4700,4700,7
AL,C00369033,2025-11,12046,12046,9
AL,C00369033,2025-12,2500,2500,1
AL,C00369033,2026-01,2500,2500,1
AL,C00369033,2026-02,2500,2500,1
AL,C00369033,2026-03,50000,50000,2
AL,C00369033,2026-05,127500,127500,3
AL,C00901918,2025-07,5000,5000,1
AL,C00901918,2025-08,30410,30410,3
AL,C00901918,2025-09,40000,40000,3
AL,C00901918,2025-10,5000,5000,1
AL,C00901918,2025-11,5000,5000,1
AL,C00901918,2025-12,30000,30000,2
AL,C00901918,2026-01,5000,5000,1
AL,C00901918,2026-02,45000,45000,4
AL,C00901918,2026-03,384035,384035,10
AL,C00901918,2026-04,545776,545776,8
AL,C00901918,2026-05,226120,76120,16
AL,C00901918,2026-06,54972,54972,8
AL,C00919084,2025-09,75000,75000,2
AL,C00919084,2025-10,160000,160000,10
AL,C00919084,2025-11,51019,51019,7
AL,C00919084,2025-12,312681,312681,18
AL,C00919084,2026-01,677327,677327,31
AL,C00919084,2026-02,980601,980601,60
AL,C00919084,2026-03,604330,604330,52
AL,C00919084,2026-04,350500,350500,63
AL,C00919084,2026-05,1059647,1059647,116
AL,C00919084,2026-06,870385,870385,99
AP,C00901918,2026-06,25000,25000,1
AP,C00919084,2025-12,20000,20000,1
AP,C00919084,2026-02,50000,50000,1
AR,C00369033,2025-03,25000,25000,1
AR,C00369033,2025-04,104102,104102,1
