state,candidate,phase,positive_cents,net_cents,count
AE,C00919084,between_primary_runoff,127000,127000,4
AE,C00919084,post_runoff,1000,1000,1
AE,C00919084,pre_primary,20000,20000,2
AK,C00901918,between_primary_runoff,102617,102617,14
AK,C00901918,post_runoff,5500,5500,1
AK,C00901918,pre_primary,163447,163447,5
AK,C00919084,between_primary_runoff,1287600,1287600,131
AK,C00919084,post_runoff,1710896,1710896,94
AK,C00919084,pre_primary,1471100,1471100,135
AL,C00369033,between_primary_runoff,177500,177500,5
AL,C00369033,pre_primary,164296,164296,54
AL,C00901918,between_primary_runoff,1019788,869788,30
AL,C00901918,post_runoff,191115,191115,12
AL,C00901918,pre_primary,165410,165410,16
AL,C00919084,between_primary_runoff,1393977,1393977,181
AL,C00919084,post_runoff,1464285,1464285,144
AL,C00919084,pre_primary,2283228,2283228,133
AP,C00901918,post_runoff,25000,25000,1
AP,C00919084,pre_primary,70000,70000,2
AR,C00369033,between_primary_runoff,60000,60000,2
AR,C00369033,pre_primary,2493204,2493204,11
AR,C00901918,between_primary_runoff,258165,258165,17
AR,C00901918,post_runoff,1120246,1120246,11
AR,C00901918,pre_primary,46845,46845,5
AR,C00919084,between_primary_runoff,2432044,2432044,287
AR,C00919084,post_runoff,1981466,1981466,161
AR,C00919084,pre_primary,1707000,1707000,174
AZ,C00369033,between_primary_runoff,296681,296681,18
AZ,C00369033,pre_primary,776166,776166,67
AZ,C00901918,between_primary_runoff,1220128,1220128,100
AZ,C00901918,post_runoff,311571,311571,62
AZ,C00901918,pre_primary,4055928,4055928,42
AZ,C00919084,between_primary_runoff,5902313,5902313,681
AZ,C00919084,post_runoff,5962977,5962977,521
AZ,C00919084,pre_primary,6121249,6121249,468
CA,C00369033,between_primary_runoff,3286445,3286445,46
CA,C00369033,pre_primary,16763538,16408538,276
CA,C00901918,between_primary_runoff,2628082,2628082,257
CA,C00901918,post_runoff,2725551,2696839,165
CA,C00901918,pre_primary,6124324,5774324,151
CA,C00919084,between_primary_runoff,127522257,127522257,6556
CA,C00919084,post_runoff,77102694,77102694,4670
CA,C00919084,pre_primary,110338808,110338808,4700
CO,C00369033,between_primary_runoff,670000,670000,8
CO,C00369033,pre_primary,9018651,9018651,41
CO,C00901918,between_primary_runoff,2613291,2613291,46
CO,C00901918,post_runoff,467954,467954,25
CO,C00901918,pre_primary,2063389,2063389,50
CO,C00919084,between_primary_runoff,17009114,17009114,1181
CO,C00919084,post_runoff,11892845,11892845,802
CO,C00919084,pre_primary,15195847,15195847,1010
CT,C00369033,between_primary_runoff,1055000,1055000,10
